OBJECTID,What_time_did_lines_enter_the_water,What_time_did_lines_leave_the_water,What_fishing_method_was_used,What_type_of_bait_or_lure_was_used,Was_berleying_used,What_was_the_maximum_depth_of_hooks,What_was_the_minimum_depth_of_hooks,Why_did_you_choose_to_fish_at_that_site,How_many_fish_did_you_catch_including_those_kept_and_those_returned,What_species_of_fish_did_you_catch,Did_you_experience_shark_bite_offs,If_yes_how_many_fish_did_you_lose,Were_these_fish_lost_completely_or_was_part_of_the_fish_(e.g.head)_retrieved,How_many_sharks_were_hooked,If_you_suffered_depredation_what_was_the_cost_of_the_gear_that_you_lost_today,Boat_name_or_number,Boat_length,Time_of_interview,Full_completion_or_partial_or_refusal,If_partial_or_refusal_why,Guid,GlobalID,Comments,CreationDate,Creator,EditDate,Editor,EXTRACTIVE SURVEY ,"If RECALL, date",What type of fishing did you do at this site?,"If OTHER, fishing type",Did you use a bait or lure?,What time did you (if spearfishing)/ your lines get in the water? ,What time did you (if spearfishing)/your lines get out the water??,Max depth of hook at this site?,# fish you kept undamaged at this site?,"If OTHER, # kept undamaged",# released undamaged at this site?,"If OTHER, # released undamaged",# depredated,"If OTHER, # depredated",What species did you catch?,Why did you leave this site?,"If OTHER, why did you leave this site?",NON_EXTRACTIVE SURVEY,"If RECALL, date",What activity did you do?,"If OTHER, activity",What time did you start the activity?,What time did you end the activity?,"If DIVING, max depth ",Why did you choose this site?,"If OTHER, why this site",Why did you leave this site?,"If OTHER, why did you leave this site?",x,y
1,06:00,10:00,Trolling - Handline,Lure,Yes,45m,<15m,Conditions,10,Snapper,Yes,1,Partially,2,$25,Dummy,Dummy,6:30,Full completion,Na,d1b0da98-950e-40c3-b6c0-e64f2cb24c7d,70cbb86f-4234-40db-aa9e-5b95fe3990dc,,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.632490286816,-24.9046762904228
2,,,,,,,,,,,,,,,,,,,,,a1985093-936d-4ecd-95d1-077807493422,92bacc9d-ab87-492c-a3e8-ae91eab85f10,,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.367189114582,-24.9578199752696
3,,,,,,,,,,,,,,,,,,,,,5f2f08aa-4cbf-425e-840f-07d855aa449a,4c7cbcd0-0c44-4e59-bda5-8c4590e247b5,,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.592120149763,-24.8862862091203
4,09:00,14:45,Casting,Bait prawn squid mullet pilchards,Yes,15m,15m,Habitat choice,10,Mullaway Snapper estuary cod rankin cod ,Yes,2,Completely,,$20,Delta dawn,6m,3:30,Full completion,,d237bed1-18ea-48ee-b33c-4708ef69a0b7,d075a64e-e3ca-48eb-90b1-47e4ff621688,Fished here his whole life and over the last 10 years has experienced significantly increased numbers of sharks and shark predation. Didn’t use much Berley as he didn’t want to attract too many sharks. ,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.52297304942,-24.960200086357
5,10:00,15:30,Casting,Fresh squid pilchards mulys ,No,15m,<15m,Convenience,2,Flat head,No,,,,,Seeker,20 f,4:48,Full completion,,d237bed1-18ea-48ee-b33c-4708ef69a0b7,e91b16c1-5850-4b2e-8859-583eb4ce24b1,No bite off however saw a large shark around the boat for a little while ,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.46407110823,-24.6870113029576
6,13:00,17:00,Casting,Muley prawn,No,15m,15m,Personal preference,4,Snapper Flathead ,No,,,1,,33634,3m,5:30,Full completion,,d237bed1-18ea-48ee-b33c-4708ef69a0b7,cfbc0341-f93e-44cb-ae57-9e3dd67e35be,,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.603458621499,-24.9558780214534
7,11:15,14:15,Casting,"Muelis, squid",Yes,30m,15m,Habitat choice,30,"Tuna, pink snapper, rankin cod",No,,,,,49107,5.3m,15:20,Full completion,,8540c5ae-e438-4803-9387-ded3aebb5567,95ca31ac-9c9b-431e-bb18-e119da8d80ae,"Said normally experience a heap of depredation, e.g had a spot where he caught and released over 100 sharks, another where they lost one to a tiger. 3 lines",8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.489167521088,-24.8943181754108
8,,,,,,,,,,,,,,,,84131,7m,16:20,Full completion,,8540c5ae-e438-4803-9387-ded3aebb5567,c0e0b62a-037d-4aaf-bc30-20b9acb9426e,Crabbing from midday,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.650147345666,-24.9090929750314
9,14:30,16:45,,,,,,,,,,,,,,,,,,,8540c5ae-e438-4803-9387-ded3aebb5567,c99bf756-a5d8-4dea-b7e2-f8d86ff47dcc,16. Crabbing from 2:30-4:30,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.646252247899,-24.9074955409676
10,15:00,17:00,Casting,Lure,No,15m,<15m,Convenience,7,Taylor,No,,,,,DZ238,4.65m,17:40,Full completion,,8540c5ae-e438-4803-9387-ded3aebb5567,726574ee-cd07-407a-a16f-aaf26b2460fc,Using Bickley wharf as the other ones been closed since the start of the year. Uses chicken wings within the crab pots as bait. 2 lines,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.629339254616,-24.9075473915965
11,08:30,10:30,Casting,Squid,No,30m,<15m,Habitat choice,7,"Black snapper, Pink Snapper, Spangled Emperor",Yes,1,Completely,0,300,Bz0104,4.7,12:06pm,Full completion,,bf022231-60e2-4320-9b34-e03173a38a8f,4e764c87-1346-4675-b145-256e6a54beaf,Lost a 6 year old rod and line to a shark. Fished at Lady Joyce. Said that the closure of the main boat ramp was because of one of the latest cyclones which meant they re-dredged the Bickley Wharf boat ramp. 3 lines in the water. ,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.580816715019,-24.915979847617
12,11:00,12:45,Casting,Squid,No,15m,<15m,Habitat choice,2,Flathead,No,,,,,AT875,4.5m,13:24,Full completion,,bf022231-60e2-4320-9b34-e03173a38a8f,07ec50ab-6474-48e6-b039-050c235a496a,Lost a net to sharks before. 2 lines in the water.,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.64244822942,-24.9326036140656
13,11:45,13:30,Casting,Squid,No,30m,<15m,Habitat choice,10,"Pink snapper, black snapper, mackerel, cod ",No,,,,,26050,5m,14:13,Full completion,,bf022231-60e2-4320-9b34-e03173a38a8f,cb649de8-27c8-4191-8f37-6128d638d28b,Interviewed just after fisheries checked them. 2 lines,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.310707229377,-24.8193104136209
14,10:00,12:30,Jigging,Squid jigs,No,15m,<15m,Habitat choice,30,"Mullet, squid",No,,,,,BB879,5m,15:00,Full completion,,bf022231-60e2-4320-9b34-e03173a38a8f,0bd69d9d-30c9-4e75-9c08-d6ff19f43361,"Tigers, thickskins, bull sharks, bronze whalers, nurse sharks all the main species responsible. Bull sharks maybe less so. He keeps on moving so he’s not staying in one place, seems to help him avoid the worst of it. Says quota system that’s managed for a few species, with others protected could possibly help bring everything back into balance. Less people going out to the islands as only going out there on a glass off. Helps protect species to a certain degree. Knew about PS closure. 2 lines.",8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.775465035322,-25.1523803614971
15,,,,,,,,,,,,,,,,,,,Refusal,In a rush to leave ,54d991c6-0434-48f7-a8ce-9adeb258699f,f500ef04-7094-4939-823d-81c6e7eccf1c,Location of boat ramp as refusal of interview ,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.65168818455,-24.897763706568
16,10:30,13:15,Casting,Muley,No,15m,<15m,Personal preference,20,Snapper cod brim trumpet crabs,No,,,,,Ozi 1 62923,4m,1:15,Full completion,,54d991c6-0434-48f7-a8ce-9adeb258699f,daa61ca1-1e54-4d4b-a32b-a327753f2bd2,Mentioned this was the first time they haven’t experienced depredation,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.659744753922,-24.9342284587357
17,11:00,14:00,Casting,Mules squid,No,15m,<15m,Personal preference,20,Tailor ,Yes,2,Completely,0,$20,Be953,4.2,2:15,Full completion,,54d991c6-0434-48f7-a8ce-9adeb258699f,7bc4cc06-f137-490c-a791-54fdefe72000,,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.642313377923,-24.9097468887516
18,13:30,15:30,,,,,,,,Crabs,,,,,,Ev654,3m,3:45,Full completion,,54d991c6-0434-48f7-a8ce-9adeb258699f,d06f3b69-e0bd-42cb-b2f1-51849600e12c,Crabbing,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.658981471594,-24.9021734390164
19,08:30,10:00,,,,15m,<15m,Habitat choice,,Crabs,No,,,,,Wilson,3.7 m,10:20,Full completion,,0dbe6c27-9a26-46ad-89e1-04f9d9b96d05,df05d4a4-48b6-40e1-b3ff-cf11ddaf55cc,Crabbing,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.655641537165,-24.9095278641551
20,11:30,13:30,,,,15m,,Personal preference,,Crabbing,No,,,,,Bk712,3m,14:00,Full completion,,1984c965-6be6-40ab-a542-b74b9d482c28,f9846fa5-1521-436c-bb55-9ec37c535996, Crabbing. Comments of shark taking crab pot previous time ,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.650798026867,-24.9268023091038
21,11:00,14:00,,Mutton,No,15m,<15m,Habitat choice,40,Crabs,Yes,,Completely,,$15,DD187,3.75m,2:45,Full completion,,1984c965-6be6-40ab-a542-b74b9d482c28,31fefabb-2464-493f-9f1d-6b5f954064c0,"Shark took pot, could not retrieve it ",8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.655780530794,-24.9073866544944
22,11:00,14:30,Casting,Squid prawns,Yes,15m,<15m,Conditions,50,Yellow tail flathead brim estuary cod ,No,,,,,Ek679,5m ,3:20,Full completion,,1984c965-6be6-40ab-a542-b74b9d482c28,425ea769-461f-4062-b953-cf99392c44b2,Mainly fishing in creeks ,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.667125670724,-24.9541271365293
