ID,WhosData,Date,InterviewTime,Interviewer,Transect,Access,TotDaysInArea,BoatAccess,DaysOnBoat,DaysOnShore,TimesInTwenty,TimesInNineteen,Covid,Meta.x,Meta.y,Use.x,Use.y,ActivityDate,FishingType,BaitLure,TimeStartEX,TimeOutEx,MedianTimeEX,DecMedianTimeEX,HoursEx,DecHoursEx,MaxDepth,KeptUndam,ReleasedUndam,TotalUndam,DP,TotalHooked,PerDP,ProDP,Species,WhyLeaveEx,Activity,TimeStartNEX,TimeEndNEX,MedianTimeNEX,DecMedianTimeNEX,HoursNEX,DecHourNEX,DivingDepth,WhyThisSite,WhyLeaveNEX,DaysOfYrFishedBoat,DaysOfYrFishedShore,DaysOfYrFished,DaysOfYrNEX,YrsFishing,YrsNEX,DiveCert,DiveNum,YrBorn,Postcode,Accom,Sex,Party,BoatLength,BoatType,BoatName,Comments
1,Jon,21/07/15,17:45,Jon,Tantabiddi,TantBR,NA,Yes,NA,NA,NA,NA,NA,113.977627,-21.912187,113.9335343,-21.90036424,21/07/15,Demersel,Lure,12:00,17:00,14:30,14.5,05:00,5,10,NA,NA,5,5,10,50,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dr656,
2,Jon,21/07/15,13:45,Jon,Tantabiddi,TantBR,NA,Yes,NA,NA,NA,NA,NA,113.977627,-21.912187,113.9680709,-21.88498153,21/07/15,Trolling,Lure,10:30,13:30,12:00,12,03:00,3,5,NA,NA,2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,Bw869,"2fish caught total, 4m fibreglass boat"
4,Jon,21/07/15,15:30,Jon,Tantabiddi,TantBR,NA,Yes,NA,NA,NA,NA,NA,113.977627,-21.912187,113.9500226,-21.9083494,21/07/15,Demersel,Bait,12:00,15:15,13:37,13.62,03:15,3.25,15,NA,NA,5,5,10,50,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,3,C,Bv596,3m tinny
5,Jon,21/07/15,15:30,Jon,Tantabiddi,TantBR,NA,Yes,NA,NA,NA,NA,NA,113.977627,-21.912187,113.9099738,-21.95554866,21/07/15,Demersel,Bait,09:00,15:00,12:00,12,06:00,6,20,NA,NA,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,3,C,Ep586,3m tinny
6,Jon,21/07/15,15:45,Jon,Tantabiddi,TantBR,NA,Yes,NA,NA,NA,NA,NA,113.977627,-21.912187,113.9373988,-21.92185003,21/07/15,Demersel,Bait,12:30,15:00,13:45,13.75,02:30,2.5,10,NA,NA,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,40,NA,NA,NA,NA,NA,NA,NA,NA,4,A,Tde933,4m rubber boat
9,Jon,21/07/15,16:30,Jon,Tantabiddi,TantBR,NA,Yes,NA,NA,NA,NA,NA,113.977627,-21.912187,113.869778,-21.87850025,21/07/15,Demersel,Bait,12:00,15:00,13:30,13.5,03:00,3,50,NA,NA,4,2,6,33.33333333,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,25,NA,NA,NA,NA,NA,NA,NA,NA,3,C,Bx005,"4fish caught and released 2 lost to sharks plus some gear got taken by sharks, 3m tinny boat"
11,Jon,21/07/15,17:00,Jon,Tantabiddi,TantBR,NA,Yes,NA,NA,NA,NA,NA,113.977627,-21.912187,113.9058773,-21.86356918,21/07/15,Demersel,Bait,09:00,16:00,12:30,12.5,07:00,7,150,NA,NA,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,35,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,41956,6m covered fibreglass boat white
12,Jon,21/07/15,17:45,Jon,Tantabiddi,TantBR,NA,Yes,NA,NA,NA,NA,NA,113.977627,-21.912187,113.9625059,-21.88009444,21/07/15,Demersel,Bait,,,,NA,,NA,15,NA,NA,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,60,NA,NA,NA,NA,NA,NA,NA,NA,3,C,Ei761,3m tinny
16,Jon,22/07/15,13:30,Jon,Bundegi,BunBR,NA,Yes,NA,NA,NA,NA,NA,114.174006,-21.831222,114.0691314,-21.78117255,22/07/15,Demersel,Bait,09:00,12:30,10:45,10.75,03:30,3.5,10,NA,NA,21,8,29,27.5862069,0.275862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,65,NA,NA,NA,NA,NA,NA,NA,NA,3,C,Ec608,"15fish landed 6 thrown back, 8 lost to sharks, so 21 to 8 ratio of depredation, 3m tinny"
18,Jon,22/07/15,15:15,Jon,Bundegi,BunBR,NA,Yes,NA,NA,NA,NA,NA,114.174006,-21.831222,114.2101602,-21.76421277,22/07/15,Demersel,Bait,10:00,14:00,12:00,12,04:00,4,10,NA,NA,10,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Bo911, blackarse",4m metal white boat partially covered
