ID,Date,Interviewer,Transect,Access,BoatAccess,Meta.x,Meta.y,ActivityDate,FishingType,BaitType,TimeInEx,TimeOutEx,MedTimeEx,DecMedTimeEx,MaxDepthEx,KeptUndam,ReleasedUndam,TotalUndam,DP,TotalHooked,PerDP,ProDP
1,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Bottom-bashing (drifting),Artificial plastic lure,12:00,17:00,14:30,14.5,10,NA,NA,5,5,10,50,0.5
2,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Trolling,Artificial plastic lure,10:30,13:30,12:00,12,5,NA,NA,2,0,2,0,0
3,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Trolling,Artificial plastic lure,11:30,14:30,13:00,13,5,NA,NA,2,2,4,50,0.5
4,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Bottom-bashing (drifting),Squid,12:00,15:15,13:37,13.62,15,NA,NA,5,5,10,50,0.5
5,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Bottom-bashing (drifting),Squid,09:00,15:00,12:00,12,20,NA,NA,5,0,5,0,0
6,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Bottom-bashing (drifting),Squid,12:30,15:00,13:45,13.75,10,NA,NA,5,0,5,0,0
7,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Trolling,Artificial plastic lure,08:00,15:30,11:45,11.75,5,NA,NA,5,0,5,0,0
8,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Trolling,Artificial plastic lure,11:00,16:00,13:30,13.5,5,NA,NA,5,0,5,0,0
9,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Bottom-bashing (drifting),Squid,12:00,15:00,13:30,13.5,50,NA,NA,4,2,6,33.33333333,0.333333333
10,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Trolling,Artificial plastic lure,13:00,16:15,14:37,14.62,5,NA,NA,1,1,2,50,0.5
11,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Bottom-bashing (drifting),Mackerel,09:00,16:00,12:30,12.5,150,NA,NA,5,0,5,0,0
12,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Bottom-bashing (anchored),Squid,,,,NA,15,NA,NA,5,0,5,0,0
13,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Bottom-bashing (anchored),Mulie,11:30,17:30,14:30,14.5,20,NA,NA,25,1,26,3.846153846,0.038461538
14,21/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,21/07/2015,Trolling,Artificial plastic lure,13:00,18:00,15:30,15.5,5,NA,NA,2,1,3,33.33333333,0.333333333
15,22/07/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,22/07/2015,Bottom-bashing (anchored),Squid,15:00,17:00,16:00,16,15,NA,NA,3,2,5,40,0.4
16,22/07/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,22/07/2015,Bottom-bashing (drifting),Squid,09:00,12:30,10:45,10.75,10,NA,NA,21,8,29,27.5862069,0.275862069
17,22/07/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,22/07/2015,Bottom-bashing (drifting),Squid,11:00,14:30,12:45,12.75,15,NA,NA,50,15,65,23.07692308,0.230769231
