OBJECTID,Guid,GlobalID,Comments,CreationDate,EditDate,EXTRACTIVE SURVEY ,"If RECALL, date",What type of fishing did you do at this site?,"If OTHER, fishing type",Did you use a bait or lure?,What time did you (if spearfishing)/ your lines get in the water? ,What time did you (if spearfishing)/your lines get out the water??,Max depth of hook at this site?,# fish you kept undamaged at this site?,"If OTHER, # kept undamaged",# released undamaged at this site?,"If OTHER, # released undamaged",# depredated,"If OTHER, # depredated",What species did you catch?,Why did you leave this site?,"If OTHER, why did you leave this site?",NON_EXTRACTIVE SURVEY,"If RECALL, date",What activity did you do?,"If OTHER, activity",What time did you start the activity?,What time did you end the activity?,"If DIVING, max depth ",Why did you choose this site?,"If OTHER, why this site",Why did you leave this site?,"If OTHER, why did you leave this site?",x,y
190,213c9880-78e8-42c8-a336-6c80b1ddf561,d34f2c00-f23f-42c8-9656-4568b928b887,,9/26/2020 7:46:57 AM,9/26/2020 7:54:49 AM,,,Trolling,,Lure,10,30minss,0,0,,0,,0,,None,ActivityChange,,,,Relaxing,,,,,Megafauna,Saw loads of whales ,ActivityChange ,,114.2062098,-21.98624488
191,213c9880-78e8-42c8-a336-6c80b1ddf561,48012f22-0997-4f46-bafd-f1178a0101f3,,9/26/2020 7:48:27 AM,9/26/2020 7:53:31 AM,,,Squidding,,Lure,14:00,14:30,5m,1,,0,,0,,Squid,End of day,,,,,,,,,,,,,114.1470785,-22.26431509
192,45f28ab9-8e8e-46e0-82d7-a71ed226f5d3,fcfaacd7-c26f-4732-9681-36d03cfb0727,,9/26/2020 8:17:09 AM,9/26/2020 8:38:06 AM,,,Casting,,Bait,09:00,11:00,18m,0,,10,,0,,DonŠ—Èt know ,Weather,Sea sick ,,,,,,,,,,,,114.2501071,-21.85408029
193,45f28ab9-8e8e-46e0-82d7-a71ed226f5d3,a6dc5440-b67a-4113-91b7-0ccb15e8e41e,,9/26/2020 8:19:30 AM,9/26/2020 8:25:31 AM,,,Casting,,Bait,12,13:00,6-8m,0,,7,,0,,None,Weather,,,,,,,,,,,,,114.1875164,-21.87487225
194,45f28ab9-8e8e-46e0-82d7-a71ed226f5d3,0f6b0d2d-f377-4d05-ad43-8435fdaba132,,9/26/2020 8:21:11 AM,9/26/2020 8:21:11 AM,,,Casting,,Bait,3,4,5m,0,,1,Shark bronzy,0,,,End of day,,,,,,,,,,,,,114.2504367,-21.86003976
195,6cfd23ba-0d6e-4b8a-bcbf-a1ea0a99de93,10ae4c1a-7d2e-4f99-9011-e9b5c47581fa,,9/26/2020 8:47:40 AM,9/26/2020 8:47:40 AM,,,,,,,,,,,,,,,,,,,,,Whale watching,3,4,,Megafauna,,BetterSite,Followed whale breaching ,114.2257266,-21.95709801
196,6cfd23ba-0d6e-4b8a-bcbf-a1ea0a99de93,9358faa8-7c60-41fc-83e7-46b66a352f20,,9/26/2020 8:55:40 AM,9/26/2020 8:55:40 AM,,,,,,,,,,,,,,,,,,,,Other,Whale watching,,,,Megafauna,,EndOfDay,,114.2130526,-22.0250649
197,6cfd23ba-0d6e-4b8a-bcbf-a1ea0a99de93,71258745-4989-4226-a71f-2a70c9966c73,,9/26/2020 9:04:08 AM,9/26/2020 9:04:08 AM,Trolling on way back to Exmouth boat ramp from previous site. ,,Trolling,,Lure,4,5,0,2,,0,,0,,Squid,End of day,,,,,,,,,,,,,114.1418187,-21.95905643
198,4fb56c0f-551c-4926-8dfa-8a347d9aeaa2,01bef38c-5079-4893-bd68-4ed3815e8968,,9/26/2020 9:22:52 AM,9/26/2020 9:22:52 AM,,,,,,,,,,,,,,,,,,,,,Swimming tried to find whales,4,515,,Other,Quick,Weather,,114.2509711,-21.89542503
199,fc7c1e0c-cdc3-4aad-99eb-6ab4629c9ec5,cf1378ae-5981-4ed6-b8e9-795143581f32,,9/26/2020 9:37:08 AM,9/26/2020 9:37:08 AM,,,Demersal ,,Bait,1500,1630,8m,1,,0,,0,,Black snapper,Weather,,,,,,,,,,,,,114.1964694,-21.96450068
200,2c0d1679-8d24-4e23-9be4-8499a0086ac4,8c9270f3-2eb2-46ba-9d64-90c99a40b8e2,,9/26/2020 9:51:14 AM,9/26/2020 9:51:14 AM,,,,,,,,,,,,,,,,,,,,Relaxing,,430,530,,Weather,,EndOfDay,,114.1442283,-21.94378904
201,012ab2a2-6984-4613-970a-7108084d73fc,ad14b645-c061-442e-a607-12fc9c56bcc8,,9/26/2020 10:16:11 AM,9/26/2020 10:35:39 AM,,,Trolling,,Bait,10,2houts,8m,5,,1,,30,"Very biased, he said hundreds, cull them all. DidnŠ—Èt give answer but said max","Mackerel 3 so, trevallu, spangled emp",End of day,,,,,,,,,,,,,114.2585143,-21.96235367
202,ffe08016-071e-40bc-908c-48fe8c4c3554,59e8d34b-41c6-4e7f-9a66-be535bef2a8b,,9/26/2020 5:46:38 AM,9/26/2020 5:46:38 AM,,9/26/2020 2:42:06 AM,Demersal ,,Bait,,,,,,,,,,,,,,,,,,,,,,,,114.1493896,-21.87453667
203,80327a4b-f6b8-4d9f-a4ed-61e91a844fd5,d2196e03-40c0-4a9d-a5d7-92233f4ba8b3,,9/26/2020 8:20:32 AM,9/26/2020 8:20:32 AM,,,Spearing,,,2pm,4pm,5m,1,Flatty,,,0,,Flatty,End of day,,,,,,,,5m,Other,,,,114.1515128,-21.93489079
204,80327a4b-f6b8-4d9f-a4ed-61e91a844fd5,810a5ef1-e47a-4be0-8d0b-d59b13c6f1af,,9/26/2020 8:43:04 AM,9/26/2020 8:43:04 AM,,9/26/2020 8:29:51 AM,Squidding,,Lure,4pm,4.20pm,5,0,,,,0,,,,,,,,,,,,,,,,114.1472488,-21.94816646
205,501be90a-b2a8-4879-8a73-a13bda2463cd,dc844f7b-f19e-4c58-9743-141cfd9f68b7,,9/26/2020 8:55:39 AM,9/26/2020 8:59:58 AM,Artificial reef,,Demersal ,,Lure,2.3,4.3,20,0,,4,,0,,"Spangled emperor, cod",End of day,,,,,,2pm,16.3,,Biodiveristy,,,,114.1524968,-21.96515506
206,385ccfd7-1cf9-44c6-9360-886c0611e653,4b8d92aa-cddf-42b9-956c-a0529aa290a4,,9/26/2020 9:10:21 AM,9/26/2020 9:13:47 AM,Marion ,,Demersal ,,Lure,8am,4.3,10,1,,1,,0,,Mackrel,End of day,,,,,,,,,,,,,114.3459566,-21.67687079
207,534996cc-4c3a-4d1c-87a2-afbb853da52b,0d8cf930-2a1b-4416-99d9-71ff1d109c66,,9/26/2020 9:21:35 AM,9/26/2020 9:29:08 AM,Exmouth reef,,Demersal ,,Bait,7am,5.21pm,16,2,,12,,0,,Perch,End of day,,,,,,,,,,,,,114.1481627,-21.95196749
