"ID","SurveyDate","numYear","facYear","Interviewer","FieldTrip","mLat","mLong","PersonID","Screen18","PrevInter","Agreement","binRecall","TripDate","TripMonth","TripJulianDay","TripNum","SiteNum","Site","SiteType","Resident","BoatAccess","nDaysInArea","nBoatDays","nShoreDays","nTimesLast12m","UseLat","UseLong","ActivityType","Activity","Start","Stop","MedianTime","decMedianTime","decDuration","FishingType","BaitLure","MaxHook","KeptUndam","RelUndam","nDP","CaughtUndam","nHooked","binDP","perDP","proDP","nUndamHr","nDPHr","DPrateHr","Species","DiveMaxDepth","WhyChoose","WhyLeave","Detract","bin_exTimes12m","exYrs","nexTimes12m","nexYrs","DiveCert","nDives","binAge","Postcode","Accom","Sex","nFemales","nMales","nGirls","nBoys","nAdults","nChild","PartySize","BoatLength","BoatID","Comments","LunarPhase"
1,2022-01-17,2022,"2022","EH","1",-33.86597167,121.8947533,1,"Yes","No","Yes","0",2022-01-17,"January",19009,1,1,"EsperanceBR","Boat","Yes","No",NA,NA,NA,"0",-33.86492574,121.9062471,"NonExtractive","WindSport","07:45","09:25","08:35",8.58,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Access","ActivityChange",NA,"0-4",0,150,40,"None",NA,"65-74","31","Esperance","Male",0,1,0,0,1,0,1,3,"Weto","NA|NA|Non-motorised boat, (sail boat)- not sure if ‘weto’ is brand or boat name, but there was no other number","Full"
2,2022-01-17,2022,"2022","EH","1",-33.93538833,122.5894283,2,"Yes","No","Yes","0",2022-01-17,"January",19009,1,1,"Wharton","Boat","Yes","Yes",NA,NA,NA,"0",-33.93340788,122.5931513,"Extractive","Fishing","11:00","12:00","11:30",11.5,1,"Casting","Bait",8,12,2,0,14,14,"0",0,0,14,0,0,"Herring",NA,NA,"ActivityChange",NA,"10-14",20,NA,NA,"None",NA,"35-44","31","Esperance","Male",2,2,3,4,4,7,11,3,"Bm079","NA|NA|NA","Full"
3,2022-01-21,2022,"2022","EH","1",-33.8654804,121.8945805,3,"Yes","No","Yes","0",2022-01-21,"January",19013,1,1,"EsperanceBR","Boat","Yes","Yes",NA,NA,NA,"0",-33.86222367,121.8970424,"Extractive","Fishing","06:00","10:00","08:00",8,4,"Casting","Bait",5,6,6,0,12,12,"0",0,0,3,0,0,"Snook, skippers, herrings, yellow tails",NA,NA,"LowCatch",NA,"60+",65,NA,NA,"None",NA,"75+","31","Esperance","Male",0,2,0,0,2,0,2,3,"90856","NA|NA|NA","Waning"
4,2022-01-21,2022,"2022","EH","1",-33.86428444,121.8938233,4,"Yes","No","Yes","0",2022-01-21,"January",19013,1,1,"EsperanceBR","Boat","Yes","Yes",NA,NA,NA,"0",-33.87305947,121.9150993,"Extractive","Fishing","06:30","08:00","07:15",7.25,1.5,"Casting","Bait",15,5,5,0,10,10,"0",0,0,6.67,0,0,"King George whiting , herrings",NA,NA,"Weather",NA,"5-9",38,NA,NA,"None",NA,"35-44","31","Esperance","Male",0,2,0,0,2,0,2,3,"BG566","NA|NA|NA","Waning"
5,2022-01-21,2022,"2022","EH","1",-33.86428444,121.8938233,4,"Yes","No","Yes","0",2022-01-21,"January",19013,1,1,"EsperanceBR","Boat","Yes","Yes",NA,NA,NA,"0",-33.85580971,121.9088765,"Extractive","Fishing","08:30","10:30","09:30",9.5,2,"Casting","Bait",2,0,6,0,6,6,"0",0,0,3,0,0,"Rock cod wrasse",NA,NA,"Weather",NA,"5-9",38,NA,NA,"None",NA,"35-44","31","Esperance","Male",0,2,0,0,2,0,2,3,"BG566","NA|NA|NA","Waning"
6,2022-01-21,2022,"2022","EH","1",-33.86513137,121.8941883,5,"Yes","No","Yes","0",2022-01-21,"January",19013,1,1,"EsperanceBR","Boat","No","Yes","8",2,8,"1",-33.88812367,121.9089454,"Extractive","Fishing","06:30","11:50","09:10",9.17,5.33,"Casting","Both",15,3,6,0,9,9,"0",0,0,1.69,0,0,"Squid, flathead, whiting",NA,NA,"Weather",NA,"5-9",1,NA,NA,"None",NA,"45-54","33","Esperance","Female",1,1,2,0,2,2,4,3,"Gd329","NA|NA|NA","Waning"
7,2022-01-21,2022,"2022","EH","1",-33.83263954,121.9309441,6,"Yes","Yes","Yes","0",2022-01-21,"January",19013,1,1,"BandyCreekBR","Boat","Yes","Yes",NA,NA,NA,"0",-33.92077134,121.9936086,"Extractive","Fishing","06:30","07:20","06:55",6.92,0.83,"Cray","Bait",18,0,0,0,0,0,"0",0,0,0,0,0,NA,NA,NA,"Other",NA,"20-29",10,NA,NA,"None",NA,"25-34","31","Esperance","Female",1,1,0,0,2,0,2,3,"42950","Sea sick|NA|NA","Waning"
8,2022-01-22,2022,"2022","EH","1",-33.83146667,121.9324183,7,"Yes","No","Yes","0",2022-01-22,"January",19014,1,1,"BandyCreekBR","Boat","Yes","Yes",NA,NA,NA,"0",-33.87368626,122.0057368,"Extractive","Fishing","06:00","10:00","08:00",8,4,"Demersal","Bait",40,7,15,0,22,22,"0",0,0,5.5,0,0,"Sweep, queenies, nanniguie, estuary cod",NA,NA,"Weather",NA,"5-9",30,NA,NA,"None",NA,"45-54","31","Esperance","Male",0,2,0,0,2,0,2,6,"48677","NA|NA|Lives half the year in Kalgoorlie","Waning"
9,2022-01-22,2022,"2022","EH","1",-33.83146667,121.9324183,7,"Yes","No","Yes","0",2022-01-22,"January",19014,1,2,"BandyCreekBR","Boat","Yes","Yes",NA,NA,NA,"0",-33.85137683,121.9571701,"Extractive","Fishing","10:00","12:20","11:10",11.17,2.33,"Trolling","Bait",0,0,0,0,0,0,"0",0,0,0,0,0,"0",NA,NA,"Weather",NA,"5-9",30,NA,NA,"None",NA,"45-54","31","Esperance","Male",0,2,0,0,2,0,2,6,"48677","NA|NA|Lives half the year in Kalgoorlie","Waning"
10,2022-01-22,2022,"2022","EH","1",-33.83142667,121.9322633,8,"Yes","Yes","Yes","0",2022-01-22,"January",19014,1,1,"BandyCreekBR","Boat","No","Yes","7",2,7,"0",-33.85351904,121.9622093,"Extractive","Fishing","08:00","11:30","09:45",9.75,3.5,"Demersal","Both",15,4,10,0,14,14,"0",0,0,4,0,0,"Herring, wrasse, leather jacket",NA,NA,"Weather",NA,"5-9",20,NA,NA,"None",NA,"45-54","24","PinkLake","Female",1,1,0,3,2,3,5,4,"D1578","Also trawling in same spot. Shallowest 8m, deepest 20m|NA|NA","Waning"
11,2022-01-22,2022,"2022","EH","1",-33.831415,121.9322533,9,"Yes","No","Yes","0",2022-01-22,"January",19014,1,1,"BandyCreekBR","Boat","Yes","Yes",NA,NA,NA,"0",-34.28537652,122.1185917,"Extractive","Fishing","05:00","08:00","06:30",6.5,3,"Trolling","Bait",0,13,30,0,43,43,"0",0,0,14.33,0,0,"Nanniguie , break sea cod , queen snapper",NA,NA,"Explore",NA,"5-9",20,NA,NA,"None",NA,"35-44","31","Esperance","Male",0,3,0,0,3,0,3,6,"EB769","NA|NA|Concerned about marine park, said that even if they don’t close of beach and marine space initially, that the govt has the power to do so in future - which seems to be his main concern","Waning"
