"","mGlobID","# Interviewer","# Site","Screen: 18+","Screen: Have you done this survey recently?","Agreement to participate","Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total?","How many DAYS of your trip will you be doing coastal shore based activities in total?","Excluding this trip, how many times have you been to the area in the last 12 month?","created_date.x","Are you of Aboriginal or Torres Strait Islander origin?","Are you a Traditional Owner of the region?","mLong","mLat","exGUID","# Is this a boat based or shore based activity?","If RECALL, what date did they go fishing?","What type of fishing did you do?","Did you use bait or lure?","What time did you START fishing at this site?","What time did you STOP fishing at this site?","What was your maximum hook depth (m) at this site?","Number of fish kept undamaged at this site?","How many fish did you release at this site?","How many shark bite offs did you get at this site?","What species of fish did you keep?","Why did you leave this site?","Comments.x","exGlobID","created_date.y","Did anything detract from your experience at this site?.x","If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?","exLong","exLat","exActivityType","nexGlobID","nexGUID","# Is this a boat-based or shore-based activity?","If RECALL, what date did they participant do the activity?","What activity did you do?","What time did you START the activity?","What time did you STOP the activity?","If DIVING, what was your maximum depth (m)?","Why did you CHOOSE this site?","Why did you LEAVE this site?","How many DAYS have you done this activity in the last 12 months?","How many YEARS have you been doing this activity?","Comments.y","created_date.x.x","Did anything detract from your experience at this site?.y","If of Aboriginal or Torres Strait Islander origin, was this activity undertaken from a customary purpose?","nexLong","nexLat","nexActivityType","OBJECTID","aGUID","How many days have you fished in the last 12 months?","How many years have you been fishing for?","Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?","What year were you born?","What is your postcode?","If VISITOR, where are you staying?","# Female or Male","# Number of females in party (excluding participant)","# Number of males in party (excluding participant)","# Number of girls in party","# Number of boys in party","# Boat Length (m)","# Boat number","Comments","created_date.y.y"
"1","DC0117F3-D0A8-413F-8148-981062E475A9","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"No",NA,NA,"0","17/1/22",NA,NA,121.8947533,-33.86597167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26D96523-28A7-4D16-B873-27DE3B6FA296","DC0117F3-D0A8-413F-8148-981062E475A9","Boat","17/1/22","WindSport","7:45","9:25",0,"Access","ActivityChange",150,40,NA,"17/1/22",NA,NA,121.9062471,-33.86492574,"NonExtractive",1,"DC0117F3-D0A8-413F-8148-981062E475A9",0,0,"None",NA,1954,6450,"Esperance","Male",NA,NA,NA,NA,3,"Weto","Non-motorised boat, (sail boat)- not sure if ‘weto’ is brand or boat name, but there was no other number","17/1/22 1:32"
"2","066C421F-DB26-47F4-AC29-CCBB588DB176","EH","Wharton","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","17/1/22",NA,NA,122.5894283,-33.93538833,"066C421F-DB26-47F4-AC29-CCBB588DB176","Boat","17/1/22","Casting","Bait","11:00","12:00",8,12,2,0,"Herring","ActivityChange",NA,"035663AC-C8FD-4561-8DD1-C62C49595699","17/1/22",NA,NA,122.5931513,-33.93340788,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"066C421F-DB26-47F4-AC29-CCBB588DB176",10,20,"None",NA,1978,6446,"Esperance","Male",2,1,3,4,3,"Bm079",NA,"17/1/22 7:01"
"3","85E33D86-5FB0-4E33-B1C2-83C97E00C1EE","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","21/1/22",NA,NA,121.8945805,-33.8654804,"85E33D86-5FB0-4E33-B1C2-83C97E00C1EE","Boat","21/1/22","Casting","Bait","6:00","10:00",5,6,6,0,"Snook, skippers, herrings, yellow tails","LowCatch",NA,"B9F42DA0-84B4-43D9-A6DD-17FF1C50369E","21/1/22",NA,NA,121.8970424,-33.86222367,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"85E33D86-5FB0-4E33-B1C2-83C97E00C1EE",60,65,"None",NA,1946,6450,"Esperance","Male",NA,1,NA,NA,3,"90856",NA,"21/1/22 2:23"
"4","002A7396-A8CB-471F-8B2C-CC8DA5F4E356","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","21/1/22",NA,NA,121.8938233,-33.86428444,"002A7396-A8CB-471F-8B2C-CC8DA5F4E356","Boat","21/1/22","Casting","Bait","6:30","8:00",15,5,5,0,"King George whiting , herrings","Weather",NA,"03F14681-FB36-453F-942F-4283516A6552","21/1/22",NA,NA,121.9150993,-33.87305947,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"002A7396-A8CB-471F-8B2C-CC8DA5F4E356",6,38,"None",NA,1980,6450,"Esperance","Male",NA,1,NA,NA,3,"BG566",NA,"21/1/22 2:52"
"5","002A7396-A8CB-471F-8B2C-CC8DA5F4E356","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","21/1/22",NA,NA,121.8938233,-33.86428444,"002A7396-A8CB-471F-8B2C-CC8DA5F4E356","Boat","21/1/22","Casting","Bait","8:30","10:30",2,0,6,0,"Rock cod wrasse","Weather",NA,"ABCBDED5-6D85-44B0-B395-E3DA8A1D2AD7","21/1/22",NA,NA,121.9088765,-33.85580971,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"002A7396-A8CB-471F-8B2C-CC8DA5F4E356",6,38,"None",NA,1980,6450,"Esperance","Male",NA,1,NA,NA,3,"BG566",NA,"21/1/22 2:52"
"6","8F465EF1-5A7F-45A3-B450-E1D1EC4F282B","EH","EsperanceBR","Yes","No","Yes","No","8","Yes","2","8","1","21/1/22",NA,NA,121.8941883,-33.86513137,"8F465EF1-5A7F-45A3-B450-E1D1EC4F282B","Boat","21/1/22","Casting","Both","6:30","11:50",15,3,6,0,"Squid, flathead, whiting","Weather",NA,"C87FC071-1096-4ABB-B92C-A695AF1F35C5","21/1/22",NA,NA,121.9089454,-33.88812367,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"8F465EF1-5A7F-45A3-B450-E1D1EC4F282B",5,1,"None",NA,1970,6556,"Esperance","Female",NA,1,2,NA,3,"Gd329",NA,"21/1/22 3:01"
"7","00FE4BFA-98D7-4922-9759-94294DB3FE39","EH","BandyCreekBR","Yes","Yes","Yes","Yes",NA,"Yes",NA,NA,"0","21/1/22",NA,NA,121.9309441,-33.83263954,"00FE4BFA-98D7-4922-9759-94294DB3FE39","Boat","21/1/22","Cray","Bait","6:30","7:20",18,0,0,0,NA,"Other","Sea sick","998F0BBF-2EF8-4CA6-B624-FD2CA6056FD9","21/1/22",NA,NA,121.9936086,-33.92077134,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"00FE4BFA-98D7-4922-9759-94294DB3FE39",20,10,"None",NA,1992,6450,"Esperance","Female",NA,1,NA,NA,3,"42950",NA,"21/1/22 23:35"
"8","EFA5FDC5-DFC5-40FE-96A7-2252E89B45F8","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","22/1/22",NA,NA,121.9324183,-33.83146667,"EFA5FDC5-DFC5-40FE-96A7-2252E89B45F8","Boat","22/1/22","Demersal","Bait","6:00","10:00",40,7,15,0,"Sweep, queenies, nanniguie, estuary cod","Weather",NA,"2CDEFF18-5FA0-4B33-91B3-3C1C38F6FD32","22/1/22",NA,NA,122.0057368,-33.87368626,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"EFA5FDC5-DFC5-40FE-96A7-2252E89B45F8",8,30,"None",NA,1973,6450,"Esperance","Male",NA,1,NA,NA,6,"48677","Lives half the year in Kalgoorlie","22/1/22 3:28"
"9","EFA5FDC5-DFC5-40FE-96A7-2252E89B45F8","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","22/1/22",NA,NA,121.9324183,-33.83146667,"EFA5FDC5-DFC5-40FE-96A7-2252E89B45F8","Boat","22/1/22","Trolling","Bait","10:00","12:20",40,0,0,0,"0","Weather",NA,"096078A0-83B6-4DB6-B136-BCCC6C6517FB","22/1/22",NA,NA,121.9571701,-33.85137683,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"EFA5FDC5-DFC5-40FE-96A7-2252E89B45F8",8,30,"None",NA,1973,6450,"Esperance","Male",NA,1,NA,NA,6,"48677","Lives half the year in Kalgoorlie","22/1/22 3:28"
"10","C53DAE6D-CFDF-4443-94C9-37E6EB756AE4","EH","BandyCreekBR","Yes","Yes","Yes","No","7","Yes","2","7","0","22/1/22",NA,NA,121.9322633,-33.83142667,"C53DAE6D-CFDF-4443-94C9-37E6EB756AE4","Boat","22/1/22","Demersal","Both","8:00","11:30",15,4,10,0,"Herring, wrasse, leather jacket","Weather","Also trawling in same spot. Shallowest 8m, deepest 20m","46E1496C-3040-451D-93B3-00F375A41DF4","22/1/22",NA,NA,121.9622093,-33.85351904,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"C53DAE6D-CFDF-4443-94C9-37E6EB756AE4",6,20,"None",NA,1975,6237,"PinkLake","Female",NA,1,NA,3,4,"D1578",NA,"22/1/22 3:59"
