OBJECTID,GlobalID,aGUID,How many days have you fished in the last 12 months?,How many years have you been fishing for?,"Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?",What year were you born?,What is your postcode?,"If VISITOR, where are you staying?",# Female or Male,# Number of females in party (excluding participant),# Number of males in party (excluding participant),# Number of girls in party,# Number of boys in party,# Boat Length (m),# Boat number,Comments,created_date,created_user,last_edited_date,last_edited_user
1,00000000-0000-0000-0000-000000000000,DC0117F3-D0A8-413F-8148-981062E475A9,0,0,None,,1954,6450,Esperance,Male,,,,,3,Weto ,"Non-motorised boat, (sail boat)- not sure if ‘weto’ is brand or boat name, but there was no other number",17/1/22 1:32,Nicole.Hamre_UWA,17/1/22 4:14,Nicole.Hamre_UWA
2,00000000-0000-0000-0000-000000000000,066C421F-DB26-47F4-AC29-CCBB588DB176,10,20,None,,1978,6446,Esperance,Male,2,1,3,4,3,Bm079,,17/1/22 7:01,Nicole.Hamre_UWA,17/1/22 7:01,Nicole.Hamre_UWA
3,00000000-0000-0000-0000-000000000000,85E33D86-5FB0-4E33-B1C2-83C97E00C1EE,60,65,None,,1946,6450,Esperance,Male,,1,,,3,90856,,21/1/22 2:23,Nicole.Hamre_UWA,21/1/22 2:23,Nicole.Hamre_UWA
4,00000000-0000-0000-0000-000000000000,002A7396-A8CB-471F-8B2C-CC8DA5F4E356,6,38,None,,1980,6450,Esperance,Male,,1,,,3,BG566,,21/1/22 2:52,Nicole.Hamre_UWA,21/1/22 2:52,Nicole.Hamre_UWA
5,00000000-0000-0000-0000-000000000000,8F465EF1-5A7F-45A3-B450-E1D1EC4F282B,5,1,None,,1970,6556,Esperance,Female,,1,2,,3,Gd329,,21/1/22 3:01,Nicole.Hamre_UWA,21/1/22 3:01,Nicole.Hamre_UWA
6,00000000-0000-0000-0000-000000000000,00FE4BFA-98D7-4922-9759-94294DB3FE39,20,10,None,,1992,6450,Esperance,Female,,1,,,3,42950,,21/1/22 23:35,Nicole.Hamre_UWA,21/1/22 23:35,Nicole.Hamre_UWA
7,00000000-0000-0000-0000-000000000000,EFA5FDC5-DFC5-40FE-96A7-2252E89B45F8,8,30,None,,1973,6450,Esperance,Male,,1,,,6,48677,Lives half the year in Kalgoorlie ,22/1/22 3:28,Nicole.Hamre_UWA,22/1/22 3:28,Nicole.Hamre_UWA
8,00000000-0000-0000-0000-000000000000,C53DAE6D-CFDF-4443-94C9-37E6EB756AE4,6,20,None,,1975,6237,PinkLake,Female,,1,,3,4,D1578,,22/1/22 3:59,Nicole.Hamre_UWA,22/1/22 3:59,Nicole.Hamre_UWA
9,00000000-0000-0000-0000-000000000000,B48CED61-1739-4972-A576-3E9B066098C5,5,20,None,,1984,6447,Esperance,Male,,2,,,6,EB769,"Concerned about marine park, said that even if they don’t close of beach and marine space initially, that the govt has the power to do so in future - which seems to be his main concern",22/1/22 4:56,Nicole.Hamre_UWA,22/1/22 4:56,Nicole.Hamre_UWA
10,00000000-0000-0000-0000-000000000000,F6656FA9-F674-4580-9235-BF5D949A9879,2,30,None,,1987,6432,Esperance,Female,1,2,2,,7,Gg053,,22/1/22 5:03,Nicole.Hamre_UWA,22/1/22 5:03,Nicole.Hamre_UWA
