OBJECTID,GlobalID,aGUID,How many days have you fished in the last 12 months?,How many years have you been fishing for?,"Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?",What year were you born?,What is your postcode?,"If VISITOR, where are you staying?",# Female or Male,# Number of females in party (excluding participant),# Number of males in party (excluding participant),# Number of girls in party,# Number of boys in party,# Boat Length (m),# Boat number,Comments,created_user,created_date,last_edited_user,last_edited_date
1,6afc3848-4b6d-46f3-8b4e-a4be22761aa6,2bc857c7-e7e1-4276-80c5-8e07fae4c1bf,15,22,None,,1995,6450,Esperance,Male,,1,,,3,Bl621,,Nicole.Hamre_UWA,4/20/2022 3:25:11 AM,Nicole.Hamre_UWA,4/20/2022 3:25:11 AM
2,6a1c23eb-1b51-4fe1-aaba-a67754155add,2d99b2bc-9cbf-44b5-aa40-827e88f53f1a,20,35,OW,12,1973,6450,Esperance,Male,,,,1,5,Dd223,,Nicole.Hamre_UWA,4/20/2022 5:04:27 AM,Nicole.Hamre_UWA,4/20/2022 5:04:27 AM
3,e5cbb960-8b2e-40fe-a7cd-49ad97a9c5ad,934945f3-79e9-482d-a363-6ab9d499fb65,20,30,Other,500,1982,6450,Esperance,Male,,,,,3,Bf664,,Nicole.Hamre_UWA,4/20/2022 5:10:14 AM,Nicole.Hamre_UWA,4/20/2022 5:10:14 AM
4,9e4d3186-9444-4eb4-bb3e-225bf055e482,8c7d2a0a-56c0-4f53-b19b-8a22b70dc03c,20,20,None,,2002,6330,Esperance,Male,,1,,,3,Dd117,,Nicole.Hamre_UWA,4/20/2022 5:47:18 AM,Nicole.Hamre_UWA,4/20/2022 5:47:18 AM
5,5e2de9a5-8064-443b-89a6-3eee6c1ce22a,d15dace8-87a0-4972-9774-08afc83abe75,80,50,None,,1958,6450,Esperance,Male,1,,,,5,Bu962,,Nicole.Hamre_UWA,4/20/2022 5:52:20 AM,Nicole.Hamre_UWA,4/20/2022 5:52:20 AM
6,17f22cf2-4824-43fe-ab6e-7a5517ff0637,a5443cb9-e2d4-4fd0-a8bf-33700aefba76,15,20,None,,1997,6450,Esperance,Male,,1,,,8,Gj621,,Nicole.Hamre_UWA,4/20/2022 6:25:39 AM,Nicole.Hamre_UWA,4/20/2022 6:25:39 AM
7,23150d0a-c00f-4dba-92f8-0d9eba174d0b,26b39f16-4154-4203-a416-84d057d5ae42,30,40,None,0,1975,6430,Esperance,Male,0,0,0,0,4,DE527,First day out on new boat,Nicole.Hamre_UWA,4/9/22 8:51,Nicole.Hamre_UWA,4/9/22 8:51
8,a0a5ab19-3404-4565-90e3-14159a340f59,e1e791c4-667d-4050-8b2d-cbabc1763c8f,24,50,None,0,1951,6450,Esperance,Male,1,0,0,0,4,AZ769,,Nicole.Hamre_UWA,4/10/22 4:52,Nicole.Hamre_UWA,4/10/22 4:52
9,42485f7b-c0fd-4272-b20f-4cfe98cf1e06,c083df05-2a1b-4eaa-8e8b-78be6d6d23b8,20,40,None,0,1968,6450,Esperance,Male,0,3,0,0,8,,,Nicole.Hamre_UWA,4/10/22 4:59,Nicole.Hamre_UWA,4/10/22 4:59
10,0873ece6-bcc2-4a64-95ad-6e8d07e6b02d,976f4ce1-e494-4fac-b6b6-911d85b7b5a5,50,23,None,0,1996,6450,Esperance,Male,0,1,0,0,3,EZ853,,Nicole.Hamre_UWA,4/10/22 6:02,Nicole.Hamre_UWA,4/10/22 6:02
11,85c2434e-f98b-424e-bdaa-84601774b4c7,54703c2d-4c59-4618-a1ee-7ad7b0f50230,40,40,None,0,1974,6450,Esperance,Male,0,0,0,1,3,65816,Rain,Nicole.Hamre_UWA,4/10/22 6:07,Nicole.Hamre_UWA,4/10/22 6:07
12,755ddf64-80ae-4ea8-952b-bea801a2b081,d8935b0d-a3d0-4a53-9784-a129dde1acfd,3,11,None,0,2008,6450,Esperance,Male,0,0,0,0,4,EM274,,Nicole.Hamre_UWA,4/10/22 6:40,Nicole.Hamre_UWA,4/10/22 6:40
13,68a0bdc0-e620-4aeb-9ccf-806ae4b7e1f3,515fda98-1290-4874-a430-5adc406f105c,5,30,None,0,1982,6450,Esperance,Male,0,0,0,1,3,BS605,,Nicole.Hamre_UWA,4/10/22 6:58,Nicole.Hamre_UWA,4/10/22 6:58
14,e67c4fab-6bf3-47bf-a2dc-9dd13b8fecad,eb5c27c5-13a8-4da9-b4c3-a82b60c20e89,26,49,None,0,1971,6450,Esperance,Male,0,0,0,0,5,DE059,,Nicole.Hamre_UWA,4/15/2022 12:22:15 AM,Nicole.Hamre_UWA,4/15/2022 12:22:15 AM
15,4a879b4b-9fe1-48d4-bd20-5e3716e63f99,7fa98aa1-9948-4ea6-bb8f-2f6d6907102a,15,25,None,0,1984,6460,Esperance,Male,1,0,0,0,5,GN536,Wife on first trip but dropped off because sea sick,Nicole.Hamre_UWA,4/15/2022 1:15:19 AM,Nicole.Hamre_UWA,4/15/2022 1:15:19 AM
16,4ddfd3e7-29aa-4b4d-a14c-5dd7ca1985ce,64d1ee1c-84a1-4002-9461-4a50b3eb7103,10,30,None,0,1982,6450,Esperance,Male,0,1,0,1,4,BS606,,Nicole.Hamre_UWA,4/15/2022 1:20:29 AM,Nicole.Hamre_UWA,4/15/2022 1:20:29 AM
17,fc462df2-68ee-4354-bbbd-25bc616b6bd3,db148d33-be9c-40bf-b12a-8e7d98c840ac,20,20,None,0,1988,6430,Esperance,Male,0,0,0,0,4,99617,,Nicole.Hamre_UWA,4/15/2022 1:58:52 AM,Nicole.Hamre_UWA,4/15/2022 1:58:52 AM
18,820286c3-5d85-4ac0-9c06-6acf94c4f602,36e5caf1-449d-467b-a01f-e673c0db9e83,112,30,OW,500,1982,6450,Esperance,Male,1,0,0,1,4,EH423,,Nicole.Hamre_UWA,4/15/2022 2:18:02 AM,Nicole.Hamre_UWA,4/15/2022 2:18:02 AM
19,1d6f8f55-5f5f-4197-9a52-0ef9e8919ae2,48a5e583-8e0a-4224-ba44-44f105847073,3,26,None,0,1996,6450,Esperance,Male,0,0,1,0,5,52279,,Nicole.Hamre_UWA,4/15/2022 3:02:41 AM,Nicole.Hamre_UWA,4/15/2022 3:02:41 AM
20,f648f94c-5f48-45af-b59b-2b56ac90cb67,f9ba50eb-3783-4575-8621-eb242d578984,30,50,AOW,200,1969,6430,Esperance,Male,1,1,0,0,4,80829,,Nicole.Hamre_UWA,4/15/2022 3:23:20 AM,Nicole.Hamre_UWA,4/15/2022 3:23:20 AM
21,d073a437-c62b-4e9b-949d-6a801d89b117,c1269ca1-4178-4f9f-8eeb-6a3963ad05f6,10,40,None,0,1959,6450,Esperance,Male,0,1,0,1,4,EW101,,Nicole.Hamre_UWA,4/15/2022 3:30:56 AM,Nicole.Hamre_UWA,4/15/2022 3:30:56 AM
22,63ecc4c1-b015-40ac-94aa-befc23b9c5ff,e17a1455-fb18-498c-a7d1-ff8bd6ca5af0,42,40,None,0,1974,6450,Esperance,Male,0,0,0,1,4,65816,,Nicole.Hamre_UWA,4/15/2022 4:07:01 AM,Nicole.Hamre_UWA,4/15/2022 4:07:01 AM
23,82ffcfb3-ec80-4a67-922c-95faf0824787,e58ec471-186b-4132-a04a-8f9764d757de,6,30,None,0,1989,6450,Esperance,Male,0,1,1,0,4,EX236,,Nicole.Hamre_UWA,4/15/2022 4:46:24 AM,Nicole.Hamre_UWA,4/15/2022 4:46:24 AM
24,4288a6af-ad4b-4012-8ca1-785846dc5c9c,73f69097-9ede-4ca1-92b9-79470a32c70b,24,50,None,0,1959,6450,Esperance,Male,0,0,0,1,3,GF120,,Nicole.Hamre_UWA,4/15/2022 4:57:08 AM,Nicole.Hamre_UWA,4/15/2022 4:57:08 AM
25,657cc688-c887-4eb2-bd02-91dcfbeab293,7c5c128c-b06b-4385-9f1e-d2fe71ed945c,12,55,None,0,1947,6450,Esperance,Male,0,0,0,0,6,71154,,Nicole.Hamre_UWA,4/15/2022 5:04:07 AM,Nicole.Hamre_UWA,4/15/2022 5:04:07 AM
26,9e1a92f3-0d94-4504-a34d-d74be9b80c65,b41919e2-ae6e-453a-83c9-33b4c12b6503,12,40,None,0,1957,6108,Esperance,Male,0,2,0,0,4,BL147,,Nicole.Hamre_UWA,4/15/2022 5:34:24 AM,Nicole.Hamre_UWA,4/15/2022 5:34:24 AM
27,500b92b0-2784-4f22-938d-8733b62fd0ce,ee6dafa1-0637-48f4-9e60-91f53a124b65,40,15,None,0,1998,6018,Esperance,Male,3,3,0,0,4,,,Nicole.Hamre_UWA,4/15/2022 5:40:00 AM,Nicole.Hamre_UWA,4/15/2022 5:40:00 AM
28,0c2f0682-31f3-4430-99a9-32956e2b9a12,05f2e315-4391-48ab-8db9-4d40ff60db73,50,2,None,0,1997,6110,Esperance,Male,0,2,0,0,3,BO642,,Nicole.Hamre_UWA,4/15/2022 5:51:10 AM,Nicole.Hamre_UWA,4/15/2022 5:51:10 AM
29,31b7a3b3-92b5-4bcb-b03a-e219da4b3c7d,bdc2ce8d-33f5-4fad-882b-c1f26feab2a2,36,30,Commercial,200,1974,6450,Esperance,Male,1,0,0,0,4,459259,,Nicole.Hamre_UWA,4/15/2022 5:58:41 AM,Nicole.Hamre_UWA,4/15/2022 5:58:41 AM
30,5b9f7a9a-eba3-48c8-8b78-ce2cb325cc7c,93ac8506-1f4e-42c0-bb67-e380b930d591,30,55,None,0,1965,6450,Esperance,Male,0,0,0,1,3,AR621,,Nicole.Hamre_UWA,4/15/2022 6:27:09 AM,Nicole.Hamre_UWA,4/15/2022 6:27:09 AM
31,35b49b86-2e5c-498a-a88b-600dbf66f487,8601227a-74a9-457e-9ea5-0c9fc50db8c6,2,0,None,0,1970,6450,Esperance,Male,0,1,0,1,5,BJ207,,Nicole.Hamre_UWA,4/15/2022 6:35:24 AM,Nicole.Hamre_UWA,4/15/2022 6:35:24 AM
32,890eebbe-6cf1-434a-9426-15c414b4da91,57df5131-7667-474a-99af-658a3ba21da7,12,0,None,0,1966,6450,Esperance,Male,0,0,0,1,4,EM274,,Nicole.Hamre_UWA,4/15/2022 7:35:07 AM,Nicole.Hamre_UWA,4/15/2022 7:35:07 AM
33,f9e50065-9486-423b-914c-891d67365b84,b6b0e669-07b1-429a-82f4-26169acde047,5,12,None,0,1992,6061,Esperance,Male,1,1,0,0,3,63957,,Nicole.Hamre_UWA,4/15/2022 8:04:22 AM,Nicole.Hamre_UWA,4/15/2022 8:10:26 AM
34,0b3ffda2-306c-4205-a456-a4d061a78ec2,5af31222-4c9f-4522-98a5-34255387ccea,30,40,AOW,50,1978,6450,Esperance,Male,0,4,0,0,8,,,Nicole.Hamre_UWA,4/15/2022 8:42:32 AM,Nicole.Hamre_UWA,4/15/2022 8:42:32 AM
35,d3c6e63d-02b5-4c92-907e-179b544e3f9a,3d2cb882-be3a-4ae5-9836-6ba64e411968,20,20,None,0,2002,6330,Esperance,Male,0,2,0,0,3,Dd117,,Nicole.Hamre_UWA,4/16/2022 3:37:13 AM,Nicole.Hamre_UWA,4/16/2022 3:37:13 AM
36,ff95e364-b05d-4c46-bb43-17491ee794d6,900bd04d-ee24-4343-8031-7aa1ebf9b627,30,20,OW,15,1990,6019,Esperance,Male,1,1,0,0,4,,,Nicole.Hamre_UWA,4/16/2022 3:45:09 AM,Nicole.Hamre_UWA,4/16/2022 3:45:09 AM
37,885e95de-2b91-40ff-82d2-5c980ce7231e,4fa30272-b53b-4180-bfdc-174f98090304,45,55,None,0,1957,6432,Esperance,Male,0,1,0,0,3,BA047,,Nicole.Hamre_UWA,4/16/2022 4:11:04 AM,Nicole.Hamre_UWA,4/16/2022 4:11:04 AM
38,dac44ac1-98c5-4057-87ee-903d401a3a8e,af6c79b2-b38e-4819-b04a-3c38d4952d30,30,35,OW,200,1964,6018,Esperance,Male,2,1,2,1,5,GM541,,Nicole.Hamre_UWA,4/16/2022 4:50:14 AM,Nicole.Hamre_UWA,4/16/2022 4:50:14 AM
39,e1479d27-cabc-42d7-bab4-0413ac0d68b9,e856c365-1ac0-4632-ac32-ac1942a2d880,3,30,None,0,1972,6103,Esperance,Male,2,2,1,1,5,G0031,,Nicole.Hamre_UWA,4/16/2022 5:05:41 AM,Nicole.Hamre_UWA,4/16/2022 5:05:41 AM
40,f76a8deb-b21c-4d87-9800-07781a9e62fe,045d536c-c708-4db2-ab29-ef940524bf57,30,35,None,0,1983,6450,Esperance,Male,0,2,0,1,6,EA042,,Nicole.Hamre_UWA,4/16/2022 5:27:02 AM,Nicole.Hamre_UWA,4/16/2022 5:27:02 AM
41,a7c774ff-a1eb-47f2-8785-d71608d24839,a21baf3e-4112-4cc7-87ef-4273c97cf1e7,30,50,None,0,1965,6450,Esperance,Male,1,0,0,0,4,BG727,,Nicole.Hamre_UWA,4/16/2022 5:31:29 AM,Nicole.Hamre_UWA,4/16/2022 5:31:29 AM
42,543b5484-0fa0-4969-bbb9-716bec0f408c,be852477-4363-48dd-80b7-76a0eef0e495,12,40,None,0,1948,6450,Esperance,Male,1,1,0,0,4,GD088,,Nicole.Hamre_UWA,4/16/2022 5:41:49 AM,Nicole.Hamre_UWA,4/16/2022 5:41:49 AM
43,472d25bb-aea4-4b19-b615-53a8fd871f78,aa682fcc-3076-4ffb-8be7-7534ce7731a5,34,40,None,0,1980,6450,Esperance,Male,1,0,2,0,5,EB752,,Nicole.Hamre_UWA,4/16/2022 5:51:21 AM,Nicole.Hamre_UWA,4/16/2022 5:51:21 AM
44,c21f1aa1-f0b6-4468-be28-e9f9b6685812,f052074a-fecd-44fc-a9b3-1617f00d241c,3,20,None,0,1976,6450,Esperance,Female,0,1,1,1,4,EQ951,,Nicole.Hamre_UWA,4/16/2022 6:47:49 AM,Nicole.Hamre_UWA,4/16/2022 6:47:49 AM
45,ec8a6d45-d2d3-438a-8366-7ce68d6e88d6,a8d58630-664b-494c-a53c-7b8b724bb7ea,52,27,None,0,1985,6450,Esperance,Male,0,1,0,2,5,DA799,,Nicole.Hamre_UWA,4/16/2022 7:11:36 AM,Nicole.Hamre_UWA,4/16/2022 7:11:36 AM
46,34d9f784-f439-4536-8172-25562244b1b1,ad39df5e-3eda-483b-9f50-769e076d4278,2,3,None,,1990,6450,Esperance,Male,,2,,,5,146 bar crusher,,Nicole.Hamre_UWA,4/18/2022 12:51:55 AM,Nicole.Hamre_UWA,4/18/2022 12:51:55 AM
47,24ac9a6c-0f16-43dd-b7f1-f952d0bbddf4,77816a8e-32d5-4051-b88f-8ea83a9b0827,15,10,None,,1994,6450,Esperance,Male,,1,,1,3,Da799,,Nicole.Hamre_UWA,4/18/2022 1:21:31 AM,Nicole.Hamre_UWA,4/18/2022 1:21:31 AM
48,53c87cbf-8d74-4162-8986-c3d799fef601,6a0ea7b0-1740-45f7-8476-321a15319828,20,35,None,,1978,6450,Esperance,Male,,1,,2,7,A383,,Nicole.Hamre_UWA,4/18/2022 2:12:35 AM,Nicole.Hamre_UWA,4/18/2022 2:12:35 AM
