exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Did anything detract from your experience at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",Comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
2bc857c7-e7e1-4276-80c5-8e07fae4c1bf,Boat,,Demersal,Bait,8:00,10:00,30,2,4,0,"Nanny, queenie ",EndOfDay,No,,,fd7e43ed-4072-4b3b-b3ae-1f6c5c52d356,Nicole.Hamre_UWA,4/20/2022 3:24:00 AM,Nicole.Hamre_UWA,4/20/2022 3:24:00 AM,122.2343283,-34.00855025
2d99b2bc-9cbf-44b5-aa40-827e88f53f1a,Boat,4/20/2022 5:02:38 AM,Casting,Both,9:15,12:00,10,14,2,0,"Herring, squid ",Weather,No,,,2f692b4c-4b72-4687-a4f6-ccf849a04d91,Nicole.Hamre_UWA,4/20/2022 5:03:37 AM,Nicole.Hamre_UWA,4/20/2022 5:03:37 AM,121.904153,-33.92054626
934945f3-79e9-482d-a363-6ab9d499fb65,Boat,,Trolling,Lure,10:00,12:45,45,0,2,0,,EndOfDay,No,,,d35afdad-d09a-40a4-8b2b-7ad2e26ebe6f,Nicole.Hamre_UWA,4/20/2022 5:09:02 AM,Nicole.Hamre_UWA,4/20/2022 5:09:02 AM,121.9019375,-33.91889747
8c7d2a0a-56c0-4f53-b19b-8a22b70dc03c,Boat,,Demersal,Both,8:00,11:30,40,6,3,0,"Queen’s, black ass ",ActivityChange,BadConditions,,,54134088-5d47-4458-9c56-455cdece0c22,Nicole.Hamre_UWA,4/20/2022 5:46:27 AM,Nicole.Hamre_UWA,4/20/2022 5:46:27 AM,122.0119304,-33.9684136
d15dace8-87a0-4972-9774-08afc83abe75,Boat,,Demersal,Bait,9:30,13:15,40,3,10,0,Whiting ,Weather,BadConditions,,,09a29bf2-6663-443e-baf9-a53d071f78bb,Nicole.Hamre_UWA,4/20/2022 5:50:39 AM,Nicole.Hamre_UWA,4/20/2022 5:50:39 AM,121.9974455,-33.83448748
a5443cb9-e2d4-4fd0-a8bf-33700aefba76,Boat,,Casting,Lure,7:00,13:00,60,14,10,0,"Sandbo, blue grouper, harly, blue fin tuna, blackass, ",EndOfDay,BadConditions,,,a8c195c9-593b-42b8-84d0-dfd8e701ef90,Nicole.Hamre_UWA,4/20/2022 6:24:44 AM,Nicole.Hamre_UWA,4/20/2022 6:24:44 AM,122.2465956,-34.15972751
26b39f16-4154-4203-a416-84d057d5ae42,Boat,,Demersal,Lure,14:00,16:15,10,0,2,0,,EndOfDay,No,NA,,cae5df93-364b-4b35-b310-d6ae6f0c163d,Nicole.Hamre_UWA,4/9/22 8:49,Nicole.Hamre_UWA,4/9/22 8:49,121.9626144,-33.85274293
e1e791c4-667d-4050-8b2d-cbabc1763c8f,Boat,,Casting,Lure,10:00,12:00,0,12,0,0,Herring,ActivityChange,No,No,,af31f005-ab2c-4af5-9803-df664244f198,Nicole.Hamre_UWA,4/10/22 4:49,Nicole.Hamre_UWA,4/10/22 4:49,121.8987053,-33.86619203
e1e791c4-667d-4050-8b2d-cbabc1763c8f,Boat,,Squidding,Both,12:00,12:30,15,2,0,0,Squid,EndOfDay,No,No,,eda7f001-f910-48a5-9ea6-db3146a00bf2,Nicole.Hamre_UWA,4/10/22 4:51,Nicole.Hamre_UWA,4/10/22 4:51,121.9166495,-33.86475079
c083df05-2a1b-4eaa-8e8b-78be6d6d23b8,Boat,,Trolling,Lure,11:30,12:30,0,0,0,0,,EndOfDay,No,No,,08b9b28e-effe-4ccd-87e4-b3f4e75abd21,Nicole.Hamre_UWA,4/10/22 4:58,Nicole.Hamre_UWA,4/10/22 5:00,121.8767169,-33.97286974
976f4ce1-e494-4fac-b6b6-911d85b7b5a5,Boat,,Squidding,Lure,10:30,14:00,10,8,5,0,Squid,Weather,No,No,,1f138cef-fc3b-427d-8d4a-a9ff28c3ef96,Nicole.Hamre_UWA,4/10/22 6:01,Nicole.Hamre_UWA,4/10/22 6:01,121.9050694,-33.86263108
54703c2d-4c59-4618-a1ee-7ad7b0f50230,Boat,,Casting,Lure,13:45,14:00,0,0,0,0,,Weather,No,No,,aa295eef-5c6b-4f20-ad80-129e3ca36da3,Nicole.Hamre_UWA,4/10/22 6:06,Nicole.Hamre_UWA,4/10/22 6:06,121.9109272,-33.85794074
515fda98-1290-4874-a430-5adc406f105c,Boat,,Squidding,Lure,12:30,14:30,4,2,0,0,"Squid, cattle",Weather,No,No,,1ac082ca-8a0d-4a60-b865-bb744a94f950,Nicole.Hamre_UWA,4/10/22 6:56,Nicole.Hamre_UWA,4/10/22 6:56,121.9061132,-33.84990498
