OBJECTID,GlobalID,GUID for meta,# Interviewer,# Site,Screen: 18+,Screen: Have you been surveyed in the last 2 weeks?,Agreement to participate,"Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total? ",How many DAYS of your trip will you be doing coastal shore based activities in total? ,"Excluding this trip, how many times have you been to the area in the last 12 month?",created_user,created_date,last_edited_user,last_edited_date,Are you of Aboriginal or Torres Strait Islander origin?,Do you identify as a TO in this region?,x,y
4,dc0117f3-d0a8-413f-8148-981062e475a9,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,No,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.894753332989,-33.8659716666251
5,066c421f-db26-47f4-ac29-ccbb588db176,,EH,Wharton,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,122.589428333287,-33.9353883330472
6,85e33d86-5fb0-4e33-b1c2-83c97e00c1ee,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.89458047467,-33.8654804020699
7,002a7396-a8cb-471f-8b2c-cc8da5f4e356,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.893823326938,-33.8642844384768
8,8f465ef1-5a7f-45a3-b450-e1d1ec4f282b,,EH,EsperanceBR,Yes,No,Yes,No,8,Yes,2,8,1,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.894188276505,-33.8651313685926
9,00fe4bfa-98d7-4922-9759-94294db3fe39,,EH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.930944148014,-33.832639540882
10,efa5fdc5-dfc5-40fe-96a7-2252e89b45f8,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.932418333701,-33.8314666663976
11,c53dae6d-cfdf-4443-94c9-37e6eb756ae4,,EH,BandyCreekBR,Yes,Yes,Yes,No,7,Yes,2,7,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.932263332992,-33.8314266664677
12,b48ced61-1739-4972-a576-3e9b066098c5,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.932253332946,-33.831415000191
13,f6656fa9-f674-4580-9235-bf5d949a9879,,EH,BandyCreekBR,Yes,No,Yes,No,4,Yes,1,4,3,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.932181666251,-33.8314016668751
14,b1c70484-6603-4d98-a5a6-49eefcb6fbde,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.932191666297,-33.8310216664961
15,5c97bb53-87ba-4bb2-b165-c7d919d44655,,EH,LuckyBay,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,122.218262184344,-33.989663250786
16,ed8bee0f-b535-4255-9e07-2a0a2cdc5650,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.893653217464,-33.8653721034285
17,f850b07d-d08a-4597-8836-07cf3612057b,,EH,EsperanceBR,Yes,No,Yes,Yes,2,Yes,2,0,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.894180863608,-33.8658564308874
18,1d84e23c-1c4a-468a-b00e-1099cc37d9b9,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.89422355155,-33.8681733822658
19,8ef85227-8aa8-41ec-b017-40cf8c1516cd,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.89428659352,-33.8663605370482
20,19a48624-5245-4551-8986-93d502475c94,,EH,BandyCreekBR,Yes,Yes,No,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931260668506,-33.833185643537
21,67e773de-6974-4ca1-8978-1746450746a7,,EH,BandyCreekBR,Yes,No,No,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931365582748,-33.8336794831505
22,f9b6a339-87ad-48c7-98a5-77ffd4a07e77,,EH,BandyCreekBR,Yes,No,No,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.930806039226,-33.8339990244266
23,27d42d98-c39d-4243-b705-15f8ee4f34f9,,NSH,BandyCreekBR,Yes,No,Yes,No,7,Yes,2,4,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931274256423,-33.8328537943933
24,f11653ec-00b4-43a0-9ccc-17f9c2078a2f,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931409901133,-33.8330267124929
25,f8c7b042-f471-4389-b8e4-020f1be4ce9d,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,,,121.931554591877,-33.8330255103681
