"","GlobalID","OBJECTID","Date","CreationDate","EditDate","Interviewer","Transect","Access","ScreenOne","ScreenTwo","Agreement","TotDaysInArea","BoatAccess","DaysOnBoat","DaysOnShore","DaysOnShore_Other","TimesInTwenty","TimesInNineteen","TimesInNineteen_Other","Covid","x","y","MetaComments","SurveyType","SurveyType_two","Shift"
"1","0013d533-1167-4438-83e7-008fddab2339",132,"10/01/20","10/01/20 07:23","10/01/20 07:23","Gabby","Bundegi","BunBR","Yes","No","Yes","8","Yes","8","8",NA,0,1,NA,"No",114.1706939,-21.83579855,NA,"Boat","Extractive","Afternoon"
"2","012ab2a2-6984-4613-970a-7108084d73fc",59,"9/26/2020 10:08:56 AM","9/26/2020 10:12:40 AM","9/26/2020 10:12:40 AM","Nicole","Exmouth","ExBR","Yes","No","Yes","10","Yes","10","3",NA,1,0,NA,"No",114.1385473,-21.95454764,NA,"Boat","Extractive","Afternoon"
"3","0193b1cb-3b58-44cb-979f-b79811755cdc",204,"9/30/2020 9:04:32 AM","9/30/2020 9:12:54 AM","9/30/2020 9:12:54 AM","Sam","Bundegi","Wobiri","Yes","Yes","Yes","5","No","0","5",NA,0,0,NA,"Yes",114.0300801,-21.84875447,NA,"Shore","Non-extractive","Afternoon"
"4","0193b1cb-3b58-44cb-979f-b79811755cdc",204,"9/30/2020 9:04:32 AM","9/30/2020 9:12:54 AM","9/30/2020 9:12:54 AM","Sam","Bundegi","Wobiri","Yes","Yes","Yes","5","No","0","5",NA,0,0,NA,"Yes",114.0300801,-21.84875447,NA,"Shore","Non-extractive","Afternoon"
"5","02fa6fce-fc92-425a-9850-a7c12aa0733f",200,"9/30/2020 8:13:17 AM","9/30/2020 8:17:37 AM","9/30/2020 8:17:37 AM","Sam","Bundegi","Janz","Yes","No","Yes","14","Yes","14","0",NA,0,2,NA,"No",114.07272,-21.82727495,NA,"Boat","Non-extractive","Afternoon"
"6","02fa6fce-fc92-425a-9850-a7c12aa0733f",200,"9/30/2020 8:13:17 AM","9/30/2020 8:17:37 AM","9/30/2020 8:17:37 AM","Sam","Bundegi","Janz","Yes","No","Yes","14","Yes","14","0",NA,0,2,NA,"No",114.07272,-21.82727495,NA,"Shore","Non-extractive","Afternoon"
"7","03685dcb-d73f-491c-958a-25cd92be36e3",141,"10/01/20","10/01/20 08:11","10/01/20 08:11","Gabby","Bundegi","BunBR","Yes","No","Yes","Resident",NA,NA,NA,NA,NA,NA,NA,NA,114.1708578,-21.83572568,NA,"Boat","Extractive","Afternoon"
"8","03c645cb-ebf5-4724-97d5-b2c89e6f631b",301,"10/04/20","10/04/20 06:45","10/04/20 06:45","Nicole","Tantabiddi","LakesideSnorkling","Yes","No","Yes","14","Yes","6","14",NA,0,0,NA,"No",113.9119468,-22.03691246,NA,"Shore","Non-extractive","Afternoon"
"9","04dd7274-991f-49e2-b7fd-4180d4562e4e",105,"9/28/2020 4:08:28 AM","9/28/2020 4:10:05 AM","9/28/2020 4:10:05 AM","Nicole","CoralBay","CBBR","Yes","No","Yes","5","Yes","2","3",NA,0,0,NA,"No",113.7679433,-23.1551894,NA,"Boat","Extractive","Morning"
"10","0599c3ce-2178-4784-b409-caa175e98cce",146,"10/01/20","10/01/20 09:12","10/01/20 09:12","Gabby","Bundegi","BunBR","Yes","No","No",NA,"Yes","All","All",NA,0,0,NA,"No",114.1708313,-21.83596011,"Change of mind","Boat","Refusal","Afternoon"
