OBJECTID,Have_you_been_interviewed_about_shark_bite_offs_before,How_many_times_have_you_fished_from_this_boat_ramp_before,How_many_days_have_you_fished_from_a_boat_this_year,How_many_years_have_you_been_fishing_for,Home_postcode,What_is_your_income_before_tax,Guid,GlobalID,CreationDate,Creator,EditDate,Editor,# times fished from boat in last 12 months?,# times doing NEX last 12 months??,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",FINISH SURVEY ,Male or Female,Describe party,Boat length,Boat Type ,Boat name or number
1,Yes,2,4,1,Dummy,Nil or Negative,70cbb86f-4234-40db-aa9e-5b95fe3990dc,f3d5371c-2e2f-4442-8fcb-1c0ac89fb835,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
2,,,,,,,92bacc9d-ab87-492c-a3e8-ae91eab85f10,9573c57f-2f93-43b2-b765-7d26be0b3046,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
3,No,30,3,50,6230,$26 000-$51 999,d075a64e-e3ca-48eb-90b1-47e4ff621688,12c11eec-628c-4770-845e-29f5622281ee,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
4,No,5,5,55,6330,$78 000-$103 999,e91b16c1-5850-4b2e-8859-583eb4ce24b1,d7f32083-58fd-405a-85ea-8912f6262c6d,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
5,No,First time,10,30,6000,$26 000-$51 999,cfbc0341-f93e-44cb-ae57-9e3dd67e35be,8ee228b8-4084-4bc1-b3f1-2b078ae77846,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
6,Yes,100+ (30 years worth),12,30,6701,$26 000-$51 999,95ca31ac-9c9b-431e-bb18-e119da8d80ae,ebc0b56b-4294-442b-97e9-e2ec82ddbcd3,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
7,No,,,,,,c0e0b62a-037d-4aaf-bc30-20b9acb9426e,8af91bad-5a2c-4612-8cf7-19b05ddff668,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
8,,300,100,30,6701,$26 000-$51 999,c99bf756-a5d8-4dea-b7e2-f8d86ff47dcc,2a98160f-85dc-49f3-a987-123a644eabef,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
9,No,5,4,30,6701,$78 000-$103 999,726574ee-cd07-407a-a16f-aaf26b2460fc,52d4f610-11d1-4eb8-a9b9-2178144cf0bd,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
10,Yes,3,30,40,6701,$78 000-$103 999,4e764c87-1346-4675-b145-256e6a54beaf,90a6bc61-52c8-4aed-9c8d-1b37fad2eb69,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
11,No,3,15,25,6450,$156 000-$207 999,07ec50ab-6474-48e6-b039-050c235a496a,683e3cb2-1620-4251-8357-16c18792abe8,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
12,No,100,40,35,6701,Nil or Negative,cb649de8-27c8-4191-8f37-6128d638d28b,d872b942-c603-4eb3-88db-4cb53415d30d,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
13,No, 40,60,25,6701,$104 000-$155 999,0bd69d9d-30c9-4e75-9c08-d6ff19f43361,8ea9ab7b-b148-4e2d-9662-08a42c04a683,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
