"","mObjID","nDate","Boat_ramp_location","Interviewer_name","Day_type","Competition_noncompetition","Number_boats_interviewed_that_day","mGUID","mGlobID","CreationDate.x","Creator.x","EditDate.x","Editor.x","REQUIRED..Interviewer","REQUIRED..Boat.ramp.transect.name","Site","SCREEN..18.","SCREEN..have.we.interviewed.you.in.the.last.2.weeks.","REQUIRED..Agreement.to.Participate","How.many.days.are.you.in.the.area.","If.OTHER....days.in.area","Do.you.have.access.to.a.motorised.boat.while.you.re.here.","If.YES....days.you.intend.to.spend.on.boat.","If.OTHER....days.on.private.boat.","X..days.you.intend.to.be.engaged.in.shore.based.activities.","If.OTHER....days.on.shore.","X..separate.times.in.area.in.last.12.months.","If.OTHER....times.in.last.12.months","X..separate.times.in.area.in.2019.","If.OTHER....times.in.area.in.2019","Would.you.be.elsewhere.if.it.weren.t.for.travel.restrictions.","Comments_meta","x.x","y.x","uObjID","What_time_did_lines_enter_the_water","What_time_did_lines_leave_the_water","What_fishing_method_was_used","What_type_of_bait_or_lure_was_used","Was_berleying_used","What_was_the_maximum_depth_of_hooks","What_was_the_minimum_depth_of_hooks","Why_did_you_choose_to_fish_at_that_site","How_many_fish_did_you_catch_including_those_kept_and_those_returned","What_species_of_fish_did_you_catch","Did_you_experience_shark_bite_offs","If_yes_how_many_fish_did_you_lose","Were_these_fish_lost_completely_or_was_part_of_the_fish_.e.g.head._retrieved","How_many_sharks_were_hooked","If_you_suffered_depredation_what_was_the_cost_of_the_gear_that_you_lost_today","Boat_name_or_number","Boat_length","Time_of_interview","Full_completion_or_partial_or_refusal","If_partial_or_refusal_why","uGUID","uGlobID","Comments","CreationDate.y","Creator.y","EditDate.y","Editor.y","EXTRACTIVE.SURVEY","If.RECALL..date","What.type.of.fishing.did.you.do.at.this.site.","If.OTHER..fishing.type","Did.you.use.a.bait.or.lure.","What.time.did.you..if.spearfishing...your.lines.get.in.the.water.","What.time.did.you..if.spearfishing..your.lines.get.out.the.water..","Max.depth.of.hook.at.this.site..m..","X..fish.you.kept.undamaged.at.this.site.","If.OTHER....kept.undamaged","X..released.undamaged.at.this.site.","If.OTHER....released.undamaged","X..depredated","If.OTHER....depredated","What.species.did.you.catch.","Why.did.you.leave.this.site.","If.OTHER..why.did.you.leave.this.site.","NON_EXTRACTIVE.SURVEY","If.RECALL..date.1","What.activity.did.you.do.","If.OTHER..activity","What.time.did.you.start.the.activity.","What.time.did.you.end.the.activity.","If.DIVING..max.depth.","Why.did.you.choose.this.site.","If.OTHER..why.this.site","Why.did.you.leave.this.site..1","If.OTHER..why.did.you.leave.this.site..1","Comments_use","Site.Type","x.y","y.y","aObjID","Have_you_been_interviewed_about_shark_bite_offs_before","How_many_times_have_you_fished_from_this_boat_ramp_before","How_many_days_have_you_fished_from_a_boat_this_year","How_many_years_have_you_been_fishing_for","Home_postcode","What_is_your_income_before_tax","aGUID","aGlobID","CreationDate","Creator","EditDate","Editor","X..times.fished.in.last.12.months.","X..times.doing.NEX.last.12.months..","X..years.fishing.","X..years.doing.NEX.","Are.you.a.diver..If.so..what.is.your.certification.","If.DIVING....dives.","What.year.were.you.born.","Home.postcode","If.VISITOR..where.are.you.staying.","If.OTHER..where.are.you.staying","FINISH.SURVEY....Comments","Male.or.Female","Describe.party","Boat.length","Boat.Type","Boat.name.or.number","Number.of.Males","Number.of.boys","Number.of.Females","Number.of.girls"
"1",49,"9/26/2020 7:32:41 AM",NA,NA,NA,NA,NA,NA,"147c243d-e51f-4e1f-a006-40973c628e97",2020-09-26 07:33:13,"Harrison.Carmody_UWA","9/26/2020 7:33:13 AM","Harrison.Carmody_UWA","Nicole","Exmouth",NA,NA,NA,"No",NA,"Language barrier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.137965884118,-21.955987310909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",50,"9/26/2020 7:37:45 AM",NA,NA,NA,NA,NA,NA,"213c9880-78e8-42c8-a336-6c80b1ddf561",2020-09-26 07:39:53,"Harrison.Carmody_UWA","9/26/2020 7:39:53 AM","Harrison.Carmody_UWA","Nicole","Exmouth",NA,"Yes","No","Yes","10",NA,"Yes","5",NA,"3",NA,1,NA,1,NA,"No",NA,114.139593215492,-21.9559268933437,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"213c9880-78e8-42c8-a336-6c80b1ddf561","d34f2c00-f23f-42c8-9656-4568b928b887",NA,2020-09-26 07:46:57,"Harrison.Carmody_UWA","9/26/2020 7:54:49 AM","Harrison.Carmody_UWA",NA,NA,"Trolling",NA,"Lure","10","30minss","0",0,NA,"0",NA,0,NA,"None","ActivityChange",NA,NA,NA,"Relaxing",NA,NA,NA,NA,"Megafauna","Saw loads of whales ","ActivityChange ",NA,NA,NA,114.206209849715,-21.9862448812705,169,NA,NA,NA,NA,NA,NA,"d34f2c00-f23f-42c8-9656-4568b928b887","9df35f8e-3c80-4a43-a14d-6fe4e568d6b9",2020-09-26 07:49:56,"Harrison.Carmody_UWA","9/26/2020 7:51:42 AM","Harrison.Carmody_UWA","1",NA,"20years",NA,NA,NA,1969,"6175","Exmouth",NA,NA,"Female","Couple",5,"F","ITQZ967",NA,NA,NA,NA
"3",50,"9/26/2020 7:37:45 AM",NA,NA,NA,NA,NA,NA,"213c9880-78e8-42c8-a336-6c80b1ddf561",2020-09-26 07:39:53,"Harrison.Carmody_UWA","9/26/2020 7:39:53 AM","Harrison.Carmody_UWA","Nicole","Exmouth",NA,"Yes","No","Yes","10",NA,"Yes","5",NA,"3",NA,1,NA,1,NA,"No",NA,114.139593215492,-21.9559268933437,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"213c9880-78e8-42c8-a336-6c80b1ddf561","48012f22-0997-4f46-bafd-f1178a0101f3",NA,2020-09-26 07:48:27,"Harrison.Carmody_UWA","9/26/2020 7:53:31 AM","Harrison.Carmody_UWA",NA,NA,"Squidding",NA,"Lure","14:00","14:30","5m",1,NA,"0",NA,0,NA,"Squid","End of day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.14707848509,-22.2643150896332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",51,"9/26/2020 8:09:30 AM",NA,NA,NA,NA,NA,NA,"f9a9cbb4-66f4-47ff-9066-7eaedd9c8372",2020-09-26 08:09:48,"Harrison.Carmody_UWA","9/26/2020 8:09:48 AM","Harrison.Carmody_UWA","Nicole","Exmouth",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.139270847866,-21.9559539252834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",52,"9/26/2020 8:50:35 AM",NA,NA,NA,NA,NA,NA,"45f28ab9-8e8e-46e0-82d7-a71ed226f5d3",2020-09-26 08:14:33,"Harrison.Carmody_UWA","9/26/2020 8:51:13 AM","Harrison.Carmody_UWA","Nicole","Exmouth",NA,"Yes","No","Yes","14",NA,"Yes","12",NA,"2",NA,2,NA,0,NA,"No",NA,114.13955667023,-21.955801584052,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45f28ab9-8e8e-46e0-82d7-a71ed226f5d3","fcfaacd7-c26f-4732-9681-36d03cfb0727",NA,2020-09-26 08:17:09,"Harrison.Carmody_UWA","9/26/2020 8:38:06 AM","Harrison.Carmody_UWA",NA,NA,"Casting",NA,"Bait","9:00","11:00","18m",0,NA,"10",NA,0,NA,"Don’t know ","Weather","Sea sick ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.250107055543,-21.8540802853475,170,NA,NA,NA,NA,NA,NA,"fcfaacd7-c26f-4732-9681-36d03cfb0727","7437c47f-1d60-4dfa-bac0-0bad44aa6d1e",2020-09-26 08:23:45,"Harrison.Carmody_UWA","9/26/2020 8:23:45 AM","Harrison.Carmody_UWA","2",NA,"15",NA,"None",NA,1994,"6107","Exmouth",NA,NA,"Female","Couple",4,"F",NA,NA,NA,NA,NA
"6",52,"9/26/2020 8:50:35 AM",NA,NA,NA,NA,NA,NA,"45f28ab9-8e8e-46e0-82d7-a71ed226f5d3",2020-09-26 08:14:33,"Harrison.Carmody_UWA","9/26/2020 8:51:13 AM","Harrison.Carmody_UWA","Nicole","Exmouth",NA,"Yes","No","Yes","14",NA,"Yes","12",NA,"2",NA,2,NA,0,NA,"No",NA,114.13955667023,-21.955801584052,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45f28ab9-8e8e-46e0-82d7-a71ed226f5d3","a6dc5440-b67a-4113-91b7-0ccb15e8e41e",NA,2020-09-26 08:19:30,"Harrison.Carmody_UWA","9/26/2020 8:25:31 AM","Harrison.Carmody_UWA",NA,NA,"Casting",NA,"Bait","12","13:00","6-8m",0,NA,"7",NA,0,NA,"None","Weather",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.187516387454,-21.8748722515342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",52,"9/26/2020 8:50:35 AM",NA,NA,NA,NA,NA,NA,"45f28ab9-8e8e-46e0-82d7-a71ed226f5d3",2020-09-26 08:14:33,"Harrison.Carmody_UWA","9/26/2020 8:51:13 AM","Harrison.Carmody_UWA","Nicole","Exmouth",NA,"Yes","No","Yes","14",NA,"Yes","12",NA,"2",NA,2,NA,0,NA,"No",NA,114.13955667023,-21.955801584052,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45f28ab9-8e8e-46e0-82d7-a71ed226f5d3","0f6b0d2d-f377-4d05-ad43-8435fdaba132",NA,2020-09-26 08:21:11,"Harrison.Carmody_UWA","9/26/2020 8:21:11 AM","Harrison.Carmody_UWA",NA,NA,"Casting",NA,"Bait","3","4","5m",0,NA,"1","Shark bronzy",0,NA,NA,"End of day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.2504366582,-21.8600397589094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",53,"9/26/2020 8:44:13 AM",NA,NA,NA,NA,NA,NA,"6cfd23ba-0d6e-4b8a-bcbf-a1ea0a99de93",2020-09-26 08:45:56,"Harrison.Carmody_UWA","9/26/2020 8:45:56 AM","Harrison.Carmody_UWA","Nicole","Exmouth",NA,"Yes","No","Yes","4",NA,"Yes","All",NA,"All",NA,1,NA,2,NA,"Yes",NA,114.138927224304,-21.954596214867,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6cfd23ba-0d6e-4b8a-bcbf-a1ea0a99de93","10ae4c1a-7d2e-4f99-9011-e9b5c47581fa",NA,2020-09-26 08:47:40,"Harrison.Carmody_UWA","9/26/2020 8:47:40 AM","Harrison.Carmody_UWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Whale watching","3","4",NA,"Megafauna",NA,"BetterSite","Followed whale breaching ",NA,NA,114.225726620628,-21.9570980085701,171,NA,NA,NA,NA,NA,NA,"10ae4c1a-7d2e-4f99-9011-e9b5c47581fa","ac42fb3a-e2e3-44fb-b97c-2bef2107c875",2020-09-26 08:49:26,"Harrison.Carmody_UWA","9/26/2020 9:11:41 AM","Harrison.Carmody_UWA","15","1","30",NA,"None",NA,1990,"6018","Exmouth",NA,NA,"Female","4 young women and one dude. Dude was a resident who owned boat, I interviewed one of the chicks. ",4,"E",NA,NA,NA,NA,NA
"9",53,"9/26/2020 8:44:13 AM",NA,NA,NA,NA,NA,NA,"6cfd23ba-0d6e-4b8a-bcbf-a1ea0a99de93",2020-09-26 08:45:56,"Harrison.Carmody_UWA","9/26/2020 8:45:56 AM","Harrison.Carmody_UWA","Nicole","Exmouth",NA,"Yes","No","Yes","4",NA,"Yes","All",NA,"All",NA,1,NA,2,NA,"Yes",NA,114.138927224304,-21.954596214867,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6cfd23ba-0d6e-4b8a-bcbf-a1ea0a99de93","9358faa8-7c60-41fc-83e7-46b66a352f20",NA,2020-09-26 08:55:40,"Harrison.Carmody_UWA","9/26/2020 8:55:40 AM","Harrison.Carmody_UWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Whale watching",NA,NA,NA,"Megafauna",NA,"EndOfDay",NA,NA,NA,114.21305261817,-22.0250649016799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",53,"9/26/2020 8:44:13 AM",NA,NA,NA,NA,NA,NA,"6cfd23ba-0d6e-4b8a-bcbf-a1ea0a99de93",2020-09-26 08:45:56,"Harrison.Carmody_UWA","9/26/2020 8:45:56 AM","Harrison.Carmody_UWA","Nicole","Exmouth",NA,"Yes","No","Yes","4",NA,"Yes","All",NA,"All",NA,1,NA,2,NA,"Yes",NA,114.138927224304,-21.954596214867,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6cfd23ba-0d6e-4b8a-bcbf-a1ea0a99de93","71258745-4989-4226-a71f-2a70c9966c73",NA,2020-09-26 09:04:08,"Harrison.Carmody_UWA","9/26/2020 9:04:08 AM","Harrison.Carmody_UWA","Trolling on way back to Exmouth boat ramp from previous site. ",NA,"Trolling",NA,"Lure","4","5","0",2,NA,"0",NA,0,NA,"Squid","End of day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.14181871615,-21.9590564329471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
