OBJECTID,Date,Boat_ramp_location,Interviewer_name,Day_type,Competition_noncompetition,Number_boats_interviewed_that_day,Guid,GlobalID,CreationDate,Creator,EditDate,Editor,REQUIRED: Interviewer,REQUIRED: Boat ramp/transect name ,Site, SCREEN: 18+,SCREEN: have we interviewed you in the last 2 weeks?,REQUIRED: Agreement to Participate ,How many days are you in the area?,"If OTHER, # days in area",Do you have access to a private boat while your here?,"If YES, # days you intend to spend on boat?","If OTHER, # days on private boat ",# days you intend to be engaged in shore based activities?,"If OTHER, # days on shore ",# separate times in area in last 12 months?,"If OTHER, # times in last 12 months",# separate times in area in 2019?,"If OTHER, # times in area in 2019",Would you be elsewhere if it weren't for travel restrictions?,x,y
1,6/26/2018 8:13:45 AM,Dummy,Harry,Weekday,Non-competition,1,,d1b0da98-950e-40c3-b6c0-e64f2cb24c7d,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,113.652691733876,-24.8949942692607
2,6/28/2018 1:17:17 AM,,Charlotte,,,,,a1985093-936d-4ecd-95d1-077807493422,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,113.649933399304,-24.8958558673913
3,6/28/2018 1:40:46 AM,,,,,,,5f2f08aa-4cbf-425e-840f-07d855aa449a,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,113.650020581701,-24.8941946499439
4,,,,,,,,fca1752f-ba47-4244-acbf-d874e05c5df1,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,113.651210597924,-24.8986206946709
5,6/30/2018 3:30:22 AM,Bickley Wharf Boat Ramp,Charlotte,Weekend,Non-competition,3,,d237bed1-18ea-48ee-b33c-4708ef69a0b7,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,113.651667214278,-24.8980963931643
6,6/30/2018 3:00:29 AM,Bickley Wharf Boat Ramp,Harry,Weekend,Non-competition,4,,8540c5ae-e438-4803-9387-ded3aebb5567,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,113.651859098016,-24.8978042971316
7,7/1/2018 2:06:40 AM,Bickley Wharf Boat Ramp,Harry,Weekend,Non-competition,4,,bf022231-60e2-4320-9b34-e03173a38a8f,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,113.652116353954,-24.897879594364
8,7/1/2018 2:03:11 AM,Bickley Wharf,Charlotte,Weekend,Non-competition,4,,54d991c6-0434-48f7-a8ce-9adeb258699f,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,113.651475267658,-24.8982507761541
9,7/2/2018 2:15:05 AM,Bickley Wharf ,Charlotte,Weekday,Non-competition,1,,0dbe6c27-9a26-46ad-89e1-04f9d9b96d05,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,113.651583129272,-24.8980187200356
10,7/3/2018 4:19:12 AM,Bickley Wharf,Charlotte,Weekday,Competition,4,,1984c965-6be6-40ab-a542-b74b9d482c28,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,8/7/2018 1:17:22 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,,,,113.651606883423,-24.8979979908966
