,Date,Julian_day,Day_no.,Trip_number,Month.Year,Boat_ramp,Boat_ramp_lat,Boat_ramp_long,Day_type,Lat,Long,Lat_bins,SST,onekm,twokm,fivekm,Kernel.density,DisFromBRm,DisFromBRnm,DisFromBRkm,X5nm_grid._block_code,Maidenhead..Grid.Square,No.FishUndamaged,No.FishDP,TotalFishHooked,PerDP,ProDP,BinDP,No.Undamaged_perHour,No.FishDP_perHour,TotalFishHooked_perHour,Dp.rate_perHour,Time_line_in,Time_lines_out,Median_time,DecMedian_time,Fishing_hours,DecFishingHours,FishingTime,GearCost_DP,FishMeth,BurleyUsed,BaitType,Max_hook,Min_hook..,Boat.name.number,Boat_Length,InterviewTime,Comments,Have_you_been_interviewed_about,How_many_times_have_you_fished_,BR_exp,YrsFishing,DaysBoatFished,DaysBoatFished_last.yr,lunar
1,21/07/15,15202,1,1,Jul/Aug 2015,Tantabiddi,-21.912187,113.977627,Weekday,-21.90036424,113.9335343,21.7S - 22.1S,23.84000015,0,1,9,2.696256984,2.94,2.56,4.74,182AV,OG68xc,5,5,10,50,0.5,1,1,1,2,10,12:00,17:00,14:30,14.5,05:00,5,5,NA,Bottom-bashing (drifting),Yes,Artificial plastic lure,10,5,Dr656,4,17:45,,No,50,2,25,10,1,Waxing
2,21/07/15,15202,1,1,Jul/Aug 2015,Tantabiddi,-21.912187,113.977627,Weekday,-21.88498153,113.9680709,21.7S - 22.1S,23.84000015,1,1,5,2.45700904,1.98,1.72,3.18,182AV,OG68xc,2,0,2,0,0,0,0.666666667,0,0.666666667,0,10:30,13:30,12:00,12,03:00,3,3,NA,Trolling,No,Artificial plastic lure,5,0,Bw869,4,13:45,"2fish caught total, 4m fibreglass boat",No,3,1,15,15,1,Waxing
3,21/07/15,15202,1,1,Jul/Aug 2015,Tantabiddi,-21.912187,113.977627,Weekday,-21.89847709,113.909611,21.7S - 22.1S,23.84000015,0,1,7,2.690536357,4.46,3.88,7.18,182AU,OG68wc,2,2,4,50,0.5,1,0.666666667,0.666666667,1.333333333,16.66666667,11:30,14:30,13:00,13,03:00,3,3,NA,Trolling,No,Artificial plastic lure,5,0,Dx616,3,15:00,"2 fish caught and returned, 2 fish lost, 1 mackerel and 1 tuna, so 50% loss rate, 3m tinny boat",No,15,1,20,50,2,Waxing
4,21/07/15,15202,1,1,Jul/Aug 2015,Tantabiddi,-21.912187,113.977627,Weekday,-21.9083494,113.9500226,21.7S - 22.1S,23.84000015,0,2,6,2.561520534,1.79,1.55,2.88,182AV,OG68xc,5,5,10,50,0.5,1,1.538461538,1.538461538,3.076923077,15.38461538,12:00,15:15,13:37,13.62,03:15,3.25,3,NA,Bottom-bashing (drifting),No,Squid,15,10,Bv596,3,15:30,3m tinny,No,2,1,20,20,1,Waxing
5,21/07/15,15202,1,1,Jul/Aug 2015,Tantabiddi,-21.912187,113.977627,Weekday,-21.95554866,113.9099738,21.7S - 22.1S,23.84000015,0,0,1,2.694707446,5.27,4.58,8.48,181AU,OG68wb,5,0,5,0,0,0,0.833333333,0,0.833333333,0,09:00,15:00,12:00,12,06:00,6,6,NA,Bottom-bashing (drifting),No,Squid,20,15,Ep586,3,15:30,3m tinny,No,3,1,20,25,1,Waxing
6,21/07/15,15202,1,1,Jul/Aug 2015,Tantabiddi,-21.912187,113.977627,Weekday,-21.92185003,113.9373988,21.7S - 22.1S,23.84000015,0,1,5,2.670322654,2.66,2.31,4.29,181AV,OG68xb,5,0,5,0,0,0,2,0,2,0,12:30,15:00,13:45,13.75,02:30,2.5,3,NA,Bottom-bashing (drifting),No,Squid,10,5,Tde933,4,15:45,4m rubber boat,No,15,1,40,25,1,Waxing
7,21/07/15,15202,1,1,Jul/Aug 2015,Tantabiddi,-21.912187,113.977627,Weekday,-21.93060835,113.8329001,21.7S - 22.1S,23.84000015,0,0,1,2.033549105,9.36,8.14,15.07,181AT,OG68vb,5,0,5,0,0,0,0.666666667,0,0.666666667,0,08:00,15:30,11:45,11.75,07:30,7.5,8,NA,Trolling,No,Artificial plastic lure,5,0,Spv1070,8,16:15,Large 8m high top sport fishing boat -on strike charters,No,>100,5,20,>100,5,Waxing
8,21/07/15,15202,1,1,Jul/Aug 2015,Tantabiddi,-21.912187,113.977627,Weekday,-21.91158617,113.8338204,21.7S - 22.1S,23.84000015,0,0,1,1.994831173,9.22,8.01,14.84,182AU,OG68wc,5,0,5,0,0,0,1,0,1,0,11:00,16:00,13:30,13.5,05:00,5,5,NA,Trolling,No,Artificial plastic lure,5,0,Eu650,3,16:30,"Covered a lot of ground trolling, 3m tinny",No,15,1,20,50,2,Waxing
9,21/07/15,15202,1,1,Jul/Aug 2015,Tantabiddi,-21.912187,113.977627,Weekday,-21.87850025,113.869778,21.7S - 22.1S,23.84000015,0,0,3,2.363732858,7.3,6.34,11.74,182AU,OG68wc,4,2,6,33.33333333,0.333333333,1,1.333333333,0.666666667,2,11.11111111,12:00,15:00,13:30,13.5,03:00,3,3,NA,Bottom-bashing (drifting),No,Squid,50,40,Bx005,3,16:30,"4fish caught and released 2 lost to sharks plus some gear got taken by sharks, 3m tinny boat",No,10,1,25,15,1,Waxing
10,21/07/15,15202,1,1,Jul/Aug 2015,Tantabiddi,-21.912187,113.977627,Weekday,-21.89452908,113.8864519,21.7S - 22.1S,23.84000015,0,0,5,2.60171,5.97,5.19,9.61,182AU,OG68wc,1,1,2,50,0.5,1,0.307692308,0.307692308,0.615384615,15.38461538,13:00,16:15,14:37,14.62,03:15,3.25,3,NA,Trolling,No,Artificial plastic lure,5,0,"S201tcm trailer licence plate, no boat number",3,16:45,"1fish caught in total,1 fish lost, 50%loss rate, but may have caught and returned fish so depredation rate may not truly have been 50%, covered huge area trolling up and down 3m tinny",No,6,1,20,50,2,Waxing
