OBJECTID,Guid,GlobalID,CreationDate,EditDate,# times fished from boat in last 12 months?,# times doing NEX last 12 months??,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",FINISH SURVEY ,Male or Female,Describe party,Boat length,Boat Type ,Boat name or number
169,d34f2c00-f23f-42c8-9656-4568b928b887,9df35f8e-3c80-4a43-a14d-6fe4e568d6b9,9/26/2020 7:49:56 AM,9/26/2020 7:51:42 AM,1,,20years,,,,1969,6175,Exmouth,,,Female,Couple,5,F,ITQZ967
170,fcfaacd7-c26f-4732-9681-36d03cfb0727,7437c47f-1d60-4dfa-bac0-0bad44aa6d1e,9/26/2020 8:23:45 AM,9/26/2020 8:23:45 AM,2,,15,,None,,1994,6107,Exmouth,,,Female,Couple,4,F,
171,10ae4c1a-7d2e-4f99-9011-e9b5c47581fa,ac42fb3a-e2e3-44fb-b97c-2bef2107c875,9/26/2020 8:49:26 AM,9/26/2020 9:11:41 AM,15,1,30,,None,,1990,6018,Exmouth,,,Female,"4 young women and one dude. Dude was a resident who owned boat, I interviewed one of the chicks. ",4,E,
172,01bef38c-5079-4893-bd68-4ed3815e8968,f4bce80a-9f77-455a-aabe-5428f8a29114,9/26/2020 9:25:40 AM,9/26/2020 9:25:40 AM,10,10 swimming fro. Boat ,9,,None,,1991,,,,,Female,"2 f , 1 m out drinking",6,G,
173,cf1378ae-5981-4ed6-b8e9-795143581f32,6de191a4-8921-4747-8c7b-79ccb3e93584,9/26/2020 9:41:38 AM,9/26/2020 9:42:39 AM,9,,21,,OW,,1999,6033? Bunbury ,Exmouth,,,Male,2 young guys with his parents ,4,F,
174,8c9270f3-2eb2-46ba-9d64-90c99a40b8e2,adcdc923-cf1a-45cc-841e-ae37a3ce9e57,9/26/2020 9:53:32 AM,9/26/2020 9:53:32 AM,50,,1,,,,1993,,,,,Female,Couple,4,F,
175,ad14b645-c061-442e-a607-12fc9c56bcc8,b478d126-3f87-43bc-ab49-937afe9aa57c,9/26/2020 10:19:21 AM,9/26/2020 10:19:21 AM,20,,24,,None,,1990,Wanaroo,,,,Male,"1 kid, 2 f, 5m ",6,G,
176,59e8d34b-41c6-4e7f-9a66-be535bef2a8b,3c4dd847-a927-482f-bc8a-c8ff4e68b8de,9/26/2020 5:52:02 AM,9/26/2020 5:52:02 AM,30,,,,,,,,,,,,,,,
177,d2196e03-40c0-4a9d-a5d7-92233f4ba8b3,8a64f6df-e26f-43ac-a9a3-38aa1a591728,9/26/2020 8:28:55 AM,9/26/2020 8:28:55 AM,50,,Whole life,,None,,1982,Exmouth,,,,Female,2 friends both female,6,F,
178,dc844f7b-f19e-4c58-9743-141cfd9f68b7,2a82d3ad-dc72-4feb-81a1-4cd88c4a14c4,9/26/2020 8:56:33 AM,9/26/2020 9:03:13 AM,15,15,Whole life,,None,,1968,Dalkeith,,,,Male,2 males,8,G,
179,4b8d92aa-cddf-42b9-956c-a0529aa290a4,a0c494c4-6b10-4e98-94e5-92353e8a2423,9/26/2020 9:12:20 AM,9/26/2020 9:15:12 AM,12,12,Whole life,,OW,,1978,Perth and margs,YardieHomestead,,,Male,2 males middle age,8,G,
