,GlobalID.y,GlobalID.x,OBJECTID.x,Date,CreationDate.x,EditDate.x,,Interviewer,Transect,Access,ScreenOne,ScreenTwo,Agreement,TotDaysInArea,BoatAccess,DaysOnBoat,DaysOnShore,DaysOnShore_Other,TimesInTwenty,TimesInNineteen,TimesInNineteen_Other,Covid,x.x,y.x,MetaComments,OBJECTID.y,Comments,CreationDate.y,EditDate.y,EXTRACTIVE SURVEY,"If RECALL, date",What type of fishing did you do at this site?,"If OTHER, fishing type",Did you use a bait or lure?,What time did you (if spearfishing)/ your lines get in the water?,What time did you (if spearfishing)/your lines get out the water??,Max depth of hook at this site?,# fish you kept undamaged at this site?,"If OTHER, # kept undamaged",# released undamaged at this site?,"If OTHER, # released undamaged",# depredated,"If OTHER, # depredated",What species did you catch?,Why did you leave this site?,"If OTHER, why did you leave this site?",NON_EXTRACTIVE SURVEY,"If RECALL, date_1",What activity did you do?,,"If OTHER, activity",What time did you start the activity?,What time did you end the activity?,"If DIVING, max depth",Why did you choose this site?,"If OTHER, why this site",Why did you leave this site?_1,"If OTHER, why did you leave this site?_1",x.y,y.y,OBJECTID,GlobalID.y.y,CreationDate,EditDate,# times fished from boat in last 12 months?,# times doing NEX last 12 months??,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",FINISH SURVEY,Male or Female,Describe party,Boat length,Boat Type,Boat name or number,SurveyType ,SurveyType_two,Shift
276,NA,09f8d610-b9cb-4cb8-bfa2-fb8064a4397a,115,9/30/2020 8:17:25 AM,9/30/2020 8:18:29 AM,9/30/2020 8:18:29 AM,Afternoon,Gabby,Bundegi,Janz,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.0733101,-21.82720647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
288,NA,4112ea2d-6112-4f20-9572-6b7821dfbe5b,88,9/27/2020 8:44:48 AM,9/27/2020 8:47:34 AM,9/27/2020 8:47:34 AM,Afternoon,Nicole,CoralBay,Bills Bay,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.770282,-23.14227553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
279,NA,835c9bce-90ab-44a0-8889-7ba93f012aeb,90,9/27/2020 8:53:04 AM,9/27/2020 8:54:09 AM,9/27/2020 8:54:09 AM,Afternoon,Nicole,CoralBay,Bills Bay,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7708156,-23.14202855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
280,NA,349fa612-10d4-4b01-a8b4-5425da6a8659,91,9/27/2020 8:54:26 AM,9/27/2020 8:55:29 AM,9/27/2020 8:55:29 AM,Afternoon,Nicole,CoralBay,Bills Bay,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7705713,-23.14217993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
297,NA,843b31b7-73dd-4fde-957a-5b2568146145,81,9/27/2020 9:13:27 AM,9/27/2020 9:15:39 AM,9/27/2020 9:33:36 AM,Afternoon,Sam,CoralBay,Bills Bay,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7686056,-23.14237204,Language barrier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
275,NA,0599c3ce-2178-4784-b409-caa175e98cce,146,10/01/2020,10/01/2020 09:12,10/01/2020 09:12,Afternoon,Gabby,Bundegi,BunBR,Yes,No,No,NA,Yes,All,All,NA,0,0,NA,No,114.1708313,-21.83596011,Change of mind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
274,NA,5fc14bfd-8442-4487-85c0-1f4d577addcc,142,10/01/2020,10/01/2020 08:15,10/01/2020 08:15,Afternoon,Gabby,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1708975,-21.8355016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
286,NA,27e5f630-50cf-42b5-b097-93a42cf8ec3f,138,10/01/2020,10/01/2020 07:54,10/01/2020 07:54,Afternoon,Gabby,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1704376,-21.83612244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
304,NA,4082620c-5b0b-463c-a26b-9a3e64d2f215,133,10/01/2020,10/01/2020 07:27,10/01/2020 07:27,Afternoon,Gabby,Bundegi,BunBR,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1699905,-21.83595092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
313,NA,8646b0f4-469f-431c-98fc-1a688ba3c830,136,10/01/2020,10/01/2020 07:37,10/01/2020 07:37,Afternoon,Gabby,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1709009,-21.83533594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
314,NA,89acb2bb-0a3b-4e6a-9579-1a9b3e367351,134,10/01/2020,10/01/2020 07:29,10/01/2020 07:29,Afternoon,Gabby,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1710945,-21.83516963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
295,NA,ba93130d-dbe1-4870-ab22-9f174d07ea1b,188,9/29/2020 9:17:41 AM,9/29/2020 9:19:10 AM,9/29/2020 9:19:10 AM,Afternoon,Sam,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1703595,-21.83572353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
