OBJECTID,Date,GlobalID,CreationDate,EditDate,Interviewer,Transect,Access, ScreenOne,ScreenTwo,Agreement,TotDaysInArea,BoatAccess,DaysOnBoat,DaysOnShore,DaysOnShore_Other,TimesInTwenty,TimesInNineteen,TimesInNineteen_Other,Covid,x,y,MetaComments,SurveyType,SurveyType_two
256,9/30/2020 9:42:24 AM,b623d1ee-5cdd-4704-82a5-c36eb7c014b5,9/30/2020 9:45:10 AM,9/30/2020 9:45:10 AM,Nicole,Bundegi,BunBR,Yes,No,No,,,,,,,,,,114.1732471,-21.830771,,,
255,9/30/2020 9:40:12 AM,c3609f74-52f7-447d-bbb3-b13fab007401,9/30/2020 9:42:16 AM,9/30/2020 9:42:16 AM,Nicole,Bundegi,BunBR,Yes,No,No,,,,,,,,,,114.1732621,-21.83077263,,,
254,9/30/2020 9:13:27 AM,e743cb5b-9a59-4d45-beb2-e17b632ccf15,9/30/2020 9:23:23 AM,9/30/2020 9:23:23 AM,Nicole,Bundegi,BunBR,Yes,Yes,No,,,,,,,,,,114.173284,-21.83078843,,,
117,9/30/2020 8:45:21 AM,ea41a0e8-3a30-43b7-a3e4-977fd252827b,9/30/2020 8:49:18 AM,9/30/2020 8:49:18 AM,Gabby,Bundegi,Wobiri,Yes,Yes,No,,,,,,,,,,114.1327136,-21.80396083,,,
250,9/30/2020 8:35:12 AM,b1ab1a0e-d1ba-4c67-9c8f-c6bbfe0dbbe4,9/30/2020 8:38:21 AM,9/30/2020 8:38:21 AM,Nicole,Bundegi,BunBR,Yes,No,No,,,,,,,,,,114.1732519,-21.83074397,,,
249,9/30/2020 8:32:23 AM,56f778c7-19bd-4760-8dcb-76ff45456b48,9/30/2020 8:33:43 AM,9/30/2020 8:33:43 AM,Nicole,Bundegi,BunBR,Yes,No,No,,,,,,,,,,114.1732527,-21.83075256,,,
201,9/30/2020 8:23:07 AM,3e5e5314-e449-48ad-b3d4-280545b797ee,9/30/2020 8:23:37 AM,9/30/2020 8:23:37 AM,Sam,Bundegi,Janz,Yes,No,No,,,,,,,,,,114.0727345,-21.82757828,,,
114,9/30/2020 8:14:29 AM,810d899e-1dd9-4af3-a1c3-eb23ba1ea6d3,9/30/2020 8:17:04 AM,9/30/2020 8:17:04 AM,Gabby,Bundegi,Janz,Yes,Yes,No,,,,,,,,,,114.0724954,-21.82774863,,,
245,9/30/2020 8:08:43 AM,bba9b278-2099-4ff4-8f30-a8485ede786c,9/30/2020 8:10:23 AM,9/30/2020 8:10:23 AM,Nicole,Bundegi,BunBR,Yes,No,No,,,,,,,,,,114.1732332,-21.83075742,,,
239,9/30/2020 4:23:39 AM,9680e7ad-0371-46a2-a379-c7e10a93ea78,9/30/2020 4:24:04 AM,9/30/2020 4:24:04 AM,Sam,Tantabiddi,SandyBay,Yes,No,No,,,,,,,,,,113.84265,-22.23073812,,,
188,9/29/2020 9:17:41 AM,ba93130d-dbe1-4870-ab22-9f174d07ea1b,9/29/2020 9:19:10 AM,9/29/2020 9:19:10 AM,Sam,Bundegi,BunBR,Yes,No,No,,,,,,,,,,114.1703595,-21.83572353,,,
102,9/28/2020 3:34:16 AM,eee1f15d-9732-445b-81a2-45ab940ade59,9/28/2020 3:37:20 AM,9/28/2020 3:37:20 AM,Nicole,CoralBay ,CBBR,Yes,Yes,No,,,,,,,,,,113.7677563,-23.15552142,,,
101,9/28/2020 3:26:35 AM,1e6c3ec6-31d9-46a7-951a-1a380821eb97,9/28/2020 3:27:51 AM,9/28/2020 3:27:51 AM,Nicole,CoralBay ,CBBR,Yes,No,No,,,,,,,,,,113.7678187,-23.15540391,,,
81,9/27/2020 9:13:27 AM,843b31b7-73dd-4fde-957a-5b2568146145,9/27/2020 9:15:39 AM,9/27/2020 9:33:36 AM,Sam,CoralBay ,Bills Bay ,Yes,No,No,,,,,,,,,,113.7686056,-23.14237204,Language barrier,,
91,9/27/2020 8:54:26 AM,349fa612-10d4-4b01-a8b4-5425da6a8659,9/27/2020 8:55:29 AM,9/27/2020 8:55:29 AM,Nicole,CoralBay ,Bills Bay ,Yes,No,No,,,,,,,,,,113.7705713,-23.14217993,,,
90,9/27/2020 8:53:04 AM,835c9bce-90ab-44a0-8889-7ba93f012aeb,9/27/2020 8:54:09 AM,9/27/2020 8:54:09 AM,Nicole,CoralBay ,Bills Bay ,Yes,No,No,,,,,,,,,,113.7708156,-23.14202855,,,
88,9/27/2020 8:44:48 AM,4112ea2d-6112-4f20-9572-6b7821dfbe5b,9/27/2020 8:47:34 AM,9/27/2020 8:47:34 AM,Nicole,CoralBay ,Bills Bay ,Yes,No,No,,,,,,,,,,113.770282,-23.14227553,,,
