ID,InterviewDate,InterviewTime,Interviewer,Transect,Access,TotDaysInArea,BoatAccess,DaysOnBoat,DaysOnShore,TimesInTwenty,TimesInNineteen,Covid,Meta.x,Meta.y,EXTRACTIVE SURVEY,ActivityDate,FishingType,BaitLure,TimeEnterWater,TimeOutWater,MaxDepth,KeptUndam,ReleasedUndam,DP,What species did you catch?,Why did you leave this site?,"If OTHER, why did you leave this site?",NON_EXTRACTIVE SURVEY,What activity did you do?,"If OTHER, activity",What time did you start the activity?,What time did you end the activity?,"If DIVING, max depth",Why did you choose this site?,"If OTHER, why this site",Why did you leave this site?_1,"If OTHER, why did you leave this site?_1",,Use.x,Use.y,DaysOfYrFishedBoat,DaysOfYrFishedShore,DaysOfYrNonEx,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",Male or Female,Describe party,Boat length,Boat Type,Boat name or number,Comments
1,9/29/2020,9:06:48,Sam,Bundegi,BunBR,7,Yes,5,2,0,0,Yes,114.1703139,-21.83555392,NA,9/29/2020,Demersal,Bait,12:00,17:00,21,8,2,4,"Chinamen cod, sweet lips",End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.2315827,-21.75760552,25,,NA,15,0,None,NA,1978,6237,NingalooLodge,NA,Male,1m1f2k,6,G,EA909,NA
2,9/27/2020,7:52:03,Nicole,CoralBay,Bills Bay,14,No,0,14,0,0,No,113.7687808,-23.14233467,NA,9/27/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,11:00,Still there 4,NA,Access,NA,NA,NA,,113.7689402,-23.14133642,NA,,NA,0,0,None,NA,1979,6076,CoralBay,NA,Female,2m2f2k,NA,NA,NA,Dont fish
3,9/26/2020,9:26:04,Nicole,Exmouth,ExBR,Resident,NA,NA,NA,NA,NA,NA,114.1396514,-21.95583214,NA,9/26/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swimming,NA,16:00,17:15,NA,Access,NA,Weather,NA,,114.2509711,-21.89542503,10,,10,9,0,None,NA,1991,NA,NA,NA,Female,2f1m,6,G,NA,Tried to find whales 
4,10/02/20,,Gabby,Exmouth,ExBR,10,Yes,10,10,0,0,Yes,114.1385297,-21.95475038,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swimming,NA,11:30,16:30,NA,Megafauna,NA,EndOfDay,NA,,114.2375648,-22.00550997,0,,NA,30,0,None,NA,1969,6158,Exmouth,NA,Male,1m2k,5,F,NA,Also choose site because eit was sheltered
5,9/30/2020,7:53:07,Nicole,Bundegi,BunBR,10,Yes,2,10,0,0,No,114.1732519,-21.83078784,NA,9/30/2020,Demersal,Both,NA,NA,30,1,5,0,"Honeycomb cod, red spot cod, empowers red throat",LowCatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.0491174,-21.79507834,NA,,NA,0,0,None,NA,NA,NA,NA,NA,Male,2m,NA,NA,NA,6 spots between tantabiddi br to light house outside reef
6,10/04/20,,Gabby,Tantabiddi,LakesideSnorkling,7,Yes,7,7,0,0,No,113.9158429,-22.0338675,NA,10/04/20,Casting,Bait,13:00,Still doing activity,NA,2,NA,1,Unsure,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,113.9152063,-22.03413572,26,,NA,0,0,None,NA,1982,6395,NManduCamp,NA,Female,3m1f1k,NA,NA,NA,NA
7,9/30/2020,4:06:16,Sam,Tantabiddi,SandyBay,14,No,0,10,0,NA,Yes,113.8433783,-22.23127155,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Relaxing,NA,10:00,15:00,NA,Other,Not been before,ActivityChange,NA,,113.8435138,-22.23177299,1,,NA,0,0,None,NA,1982,6155,ExmouthEscape,NA,Male,1m1f2k,NA,NA,NA,NA
8,10/02/20,,Nicole,Tantabiddi,TantBR,7,Yes,1,7,0,0,No,113.9782151,-21.91231669,NA,10/02/20,Demersal,Both,09:00,11:30,40,0,2,0,"Trevally,",Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,113.9540961,-21.87848741,1,4,NA,20,0,None,NA,1965,6225,Lighthouse,NA,Male,1m1f2k,4,F,Rental,NA
9,10/03/20,,Gabby,Tantabiddi,Turquoise Bay 2,14,No,0,14,0,1,No,113.8897337,-22.09787523,NA,10/03/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,09:00,Now,NA,Weather,NA,EndOfDay,NA,,113.8940844,-22.10184492,5,,NA,0,0,None,NA,1979,6330,MesaCamp,NA,Female,1m1f2k,NA,NA,NA,NA
10,10/04/20,,Nicole,Tantabiddi,LakesideSnorkling,5,No,0,2,0,1,No,113.9125,-22.03531349,NA,10/04/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,12:00,15:00,NA,Weather,NA,NA,NA,,113.9125266,-22.03547945,0,12,NA,8,0,None,NA,1974,6173,Exmouth,NA,Male,2m2f3k,NA,NA,NA,NA
